bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,2,0,0,2,49,33,2020-05-02 09:15:00
1,1002,3,3,2,3,116,108,2020-05-02 09:15:00
1,1003,2,4,4,2,120,103,2020-05-02 09:15:00
1,1004,1,1,1,1,18,20,2020-05-02 09:15:00
1,1051,1,3,1,1,54,28,2020-05-02 09:15:00
1,1053,2,1,1,2,8,16,2020-05-02 09:15:00
1,1054,3,0,0,3,21,23,2020-05-02 09:15:00
1,1055,3,0,0,3,21,31,2020-05-02 09:15:00
1,1056,2,5,5,2,7,30,2020-05-02 09:15:00
1,1057,1,1,0,1,8,5,2020-05-02 09:15:00
1,1058,1,0,0,1,4,0,2020-05-02 09:15:00
1,1059,1,0,0,1,11,12,2020-05-02 09:15:00
1,1060,3,1,0,3,64,66,2020-05-02 09:15:00
1,1061,1,0,0,1,16,24,2020-05-02 09:15:00
1,1062,3,0,0,3,28,31,2020-05-02 09:15:00
2,2000,25,74,60,22,341,541,2020-05-02 09:15:00
3,3101,5,6,5,5,69,91,2020-05-02 09:15:00
3,3102,2,0,0,2,14,13,2020-05-02 09:15:00
3,3103,1,0,0,1,21,17,2020-05-02 09:15:00
3,3151,1,0,0,1,7,7,2020-05-02 09:15:00
3,3153,3,10,7,3,35,39,2020-05-02 09:15:00
3,3154,1,4,1,1,17,17,2020-05-02 09:15:00
3,3155,2,1,0,2,12,11,2020-05-02 09:15:00
3,3157,1,1,1,1,5,17,2020-05-02 09:15:00
3,3158,1,3,3,1,6,10,2020-05-02 09:15:00
3,3159,6,11,7,6,70,137,2020-05-02 09:15:00
3,3241,16,32,23,16,168,342,2020-05-02 09:15:00
3,3251,3,1,1,3,16,4,2020-05-02 09:15:00
3,3252,4,4,2,4,25,50,2020-05-02 09:15:00
3,3254,5,5,3,4,46,64,2020-05-02 09:15:00
3,3255,1,0,0,1,4,10,2020-05-02 09:15:00
3,3256,1,0,0,1,22,12,2020-05-02 09:15:00
3,3257,1,0,0,1,10,16,2020-05-02 09:15:00
3,3351,3,2,0,1,23,24,2020-05-02 09:15:00
3,3352,2,0,0,2,10,8,2020-05-02 09:15:00
3,3353,2,3,2,2,26,11,2020-05-02 09:15:00
3,3354,1,0,0,1,20,5,2020-05-02 09:15:00
3,3355,1,0,0,1,17,19,2020-05-02 09:15:00
3,3356,2,0,0,2,7,10,2020-05-02 09:15:00
3,3357,3,2,2,2,12,30,2020-05-02 09:15:00
3,3358,3,0,0,3,18,25,2020-05-02 09:15:00
3,3359,3,0,0,2,18,23,2020-05-02 09:15:00
