bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,2,1,2,21,29,2020-11-14 12:15:00
1,1002,5,1,1,3,47,118,2020-11-14 12:15:00
1,1003,2,3,2,2,31,107,2020-11-14 12:15:00
1,1004,1,0,0,1,5,20,2020-11-14 12:15:00
1,1051,1,1,1,1,13,31,2020-11-14 12:15:00
1,1053,2,1,1,2,6,14,2020-11-14 12:15:00
1,1054,3,0,0,3,14,19,2020-11-14 12:15:00
1,1055,3,1,1,3,22,29,2020-11-14 12:15:00
1,1056,2,2,0,2,19,20,2020-11-14 12:15:00
1,1057,1,4,4,1,3,9,2020-11-14 12:15:00
1,1058,5,1,0,3,9,33,2020-11-14 12:15:00
1,1059,1,1,1,1,9,15,2020-11-14 12:15:00
1,1060,4,1,0,4,40,73,2020-11-14 12:15:00
1,1061,3,3,0,1,20,29,2020-11-14 12:15:00
1,1062,3,3,0,3,12,36,2020-11-14 12:15:00
2,2000,34,79,46,24,135,591,2020-11-14 12:15:00
3,3101,7,5,3,5,43,102,2020-11-14 12:15:00
3,3102,2,8,7,2,6,23,2020-11-14 12:15:00
3,3103,1,2,1,1,12,24,2020-11-14 12:15:00
3,3151,2,2,0,2,13,10,2020-11-14 12:15:00
3,3153,3,3,2,3,17,26,2020-11-14 12:15:00
3,3154,1,1,1,1,11,15,2020-11-14 12:15:00
3,3155,2,1,0,2,4,17,2020-11-14 12:15:00
3,3157,1,1,1,1,4,13,2020-11-14 12:15:00
3,3158,1,2,2,1,2,14,2020-11-14 12:15:00
3,3159,8,9,4,7,53,133,2020-11-14 12:15:00
3,3241,19,30,22,16,198,347,2020-11-14 12:15:00
3,3251,3,6,5,3,6,14,2020-11-14 12:15:00
3,3252,6,2,0,4,12,60,2020-11-14 12:15:00
3,3254,7,5,4,4,19,55,2020-11-14 12:15:00
3,3255,1,0,0,1,4,10,2020-11-14 12:15:00
