bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,0,0,2,20,35,2020-08-17 12:15:00
1,1002,5,2,0,3,113,116,2020-08-17 12:15:00
1,1003,2,0,0,2,107,110,2020-08-17 12:15:00
1,1004,1,0,0,1,6,19,2020-08-17 12:15:00
1,1051,1,1,1,1,16,38,2020-08-17 12:15:00
1,1053,2,0,0,2,6,12,2020-08-17 12:15:00
1,1054,3,0,0,3,19,20,2020-08-17 12:15:00
1,1055,3,0,0,3,21,31,2020-08-17 12:15:00
1,1056,2,0,0,2,11,26,2020-08-17 12:15:00
1,1057,1,1,1,1,3,9,2020-08-17 12:15:00
1,1058,5,0,0,3,19,35,2020-08-17 12:15:00
1,1059,1,0,0,1,11,13,2020-08-17 12:15:00
1,1060,4,0,0,4,45,75,2020-08-17 12:15:00
1,1061,3,0,0,1,19,30,2020-08-17 12:15:00
1,1062,3,0,0,3,27,28,2020-08-17 12:15:00
2,2000,33,10,8,23,288,567,2020-08-17 12:15:00
3,3101,7,0,0,5,60,90,2020-08-17 12:15:00
3,3102,2,0,0,2,16,13,2020-08-17 12:15:00
3,3103,1,0,0,1,8,26,2020-08-17 12:15:00
3,3151,2,0,0,2,7,29,2020-08-17 12:15:00
3,3153,3,0,0,3,35,47,2020-08-17 12:15:00
3,3154,1,1,0,1,12,22,2020-08-17 12:15:00
3,3155,2,0,0,2,9,14,2020-08-17 12:15:00
3,3157,1,0,0,1,11,11,2020-08-17 12:15:00
3,3158,1,0,0,1,9,7,2020-08-17 12:15:00
3,3159,8,0,0,7,69,124,2020-08-17 12:15:00
3,3241,19,6,5,16,156,344,2020-08-17 12:15:00
3,3251,3,0,0,3,7,10,2020-08-17 12:15:00
3,3252,6,1,1,4,17,70,2020-08-17 12:15:00
3,3254,7,0,0,4,37,55,2020-08-17 12:15:00
3,3255,1,0,0,1,2,12,2020-08-17 12:15:00
3,3256,1,0,0,1,7,19,2020-08-17 12:15:00
3,3257,1,0,0,1,2,21,2020-08-17 12:15:00
3,3351,3,0,0,1,10,31,2020-08-17 12:15:00
3,3352,2,0,0,2,18,8,2020-08-17 12:15:00
3,3353,3,0,0,3,9,33,2020-08-17 12:15:00
3,3354,1,0,0,1,10,5,2020-08-17 12:15:00
3,3355,4,0,0,2,23,36,2020-08-17 12:15:00
3,3356,3,0,0,2,4,10,2020-08-17 12:15:00
3,3357,3,0,0,2,9,29,2020-08-17 12:15:00
3,3358,3,0,0,3,9,26,2020-08-17 12:15:00
3,3359,3,0,0,2,18,15,2020-08-17 12:15:00
3,3360,2,0,0,2,21,61,2020-08-17 12:15:00
3,3361,2,0,0,2,7,8,2020-08-17 12:15:00
3,3401,1,1,0,1,6,16,2020-08-17 12:15:00
3,3402,1,1,0,1,7,13,2020-08-17 12:15:00
3,3403,5,0,0,3,43,115,2020-08-17 12:15:00
3,3404,5,3,1,4,32,94,2020-08-17 12:15:00
3,3405,2,0,0,1,10,30,2020-08-17 12:15:00
3,3451,3,0,0,2,10,23,2020-08-17 12:15:00
3,3452,3,0,0,3,10,22,2020-08-17 12:15:00
3,3453,3,0,0,3,11,25,2020-08-17 12:15:00
3,3454,11,0,0,7,38,80,2020-08-17 12:15:00
3,3455,2,0,0,2,8,29,2020-08-17 12:15:00
3,3456,1,0,0,1,4,26,2020-08-17 12:15:00
3,3457,4,0,0,2,20,22,2020-08-17 12:15:00
3,3458,1,0,0,1,2,8,2020-08-17 12:15:00
3,3459,7,1,1,6,57,68,2020-08-17 12:15:00
3,3460,5,0,0,3,21,20,2020-08-17 12:15:00
3,3461,2,0,0,2,4,13,2020-08-17 12:15:00
3,3462,1,0,0,1,1,7,2020-08-17 12:15:00
4,4011,10,2,2,9,29,136,2020-08-17 12:15:00
4,4012,4,0,0,3,25,44,2020-08-17 12:15:00
5,5111,13,4,3,11,43,246,2020-08-17 12:15:00
5,5112,15,8,5,9,97,164,2020-08-17 12:15:00
5,5113,17,4,4,14,77,352,2020-08-17 12:15:00
5,5114,7,1,0,4,25,74,2020-08-17 12:15:00
5,5116,6,2,0,4,28,71,2020-08-17 12:15:00
5,5117,2,0,0,2,26,29,2020-08-17 12:15:00
5,5119,5,0,0,4,27,42,2020-08-17 12:15:00
5,5120,1,0,0,1,17,19,2020-08-17 12:15:00
5,5122,4,1,0,3,25,61,2020-08-17 12:15:00
5,5124,7,3,1,5,58,104,2020-08-17 12:15:00
5,5154,8,0,0,5,37,38,2020-08-17 12:15:00
5,5158,4,0,0,4,8,31,2020-08-17 12:15:00
5,5162,8,3,3,6,36,83,2020-08-17 12:15:00
5,5166,4,0,0,4,12,32,2020-08-17 12:15:00
5,5170,9,4,1,8,59,110,2020-08-17 12:15:00
5,5314,18,3,2,11,59,235,2020-08-17 12:15:00
5,5315,30,12,8,18,71,407,2020-08-17 12:15:00
5,5316,5,1,1,2,23,83,2020-08-17 12:15:00
5,5334,12,4,3,7,36,231,2020-08-17 12:15:00
5,5358,7,1,1,5,24,52,2020-08-17 12:15:00
5,5362,7,0,0,7,28,49,2020-08-17 12:15:00
5,5366,3,0,0,3,9,23,2020-08-17 12:15:00
5,5370,3,1,0,3,6,30,2020-08-17 12:15:00
5,5374,7,0,0,7,43,74,2020-08-17 12:15:00
5,5378,4,0,0,4,15,32,2020-08-17 12:15:00
5,5382,7,0,0,6,16,66,2020-08-17 12:15:00
5,5512,2,0,0,2,43,24,2020-08-17 12:15:00
5,5513,8,1,1,4,69,74,2020-08-17 12:15:00
5,5515,9,4,1,7,79,190,2020-08-17 12:15:00
5,5554,6,0,0,5,40,38,2020-08-17 12:15:00
5,5558,3,0,0,3,21,12,2020-08-17 12:15:00
5,5562,15,1,0,14,86,150,2020-08-17 12:15:00
5,5566,7,2,0,5,40,68,2020-08-17 12:15:00
5,5570,6,1,1,5,40,33,2020-08-17 12:15:00
5,5711,4,3,2,4,52,93,2020-08-17 12:15:00
5,5754,3,0,0,3,13,27,2020-08-17 12:15:00
5,5758,5,1,1,3,28,48,2020-08-17 12:15:00
5,5762,5,0,0,5,19,29,2020-08-17 12:15:00
5,5766,2,0,0,2,26,51,2020-08-17 12:15:00
5,5770,8,0,0,6,65,199,2020-08-17 12:15:00
5,5774,7,2,0,5,71,74,2020-08-17 12:15:00
5,5911,8,3,2,6,63,161,2020-08-17 12:15:00
5,5913,9,4,4,9,51,236,2020-08-17 12:15:00
5,5914,7,2,2,5,27,58,2020-08-17 12:15:00
5,5915,7,1,1,5,50,65,2020-08-17 12:15:00
5,5916,4,2,1,4,15,51,2020-08-17 12:15:00
5,5954,7,1,0,6,28,104,2020-08-17 12:15:00
5,5958,10,2,0,9,44,89,2020-08-17 12:15:00
5,5962,9,0,0,8,45,43,2020-08-17 12:15:00
5,5966,3,0,0,3,15,15,2020-08-17 12:15:00
5,5970,8,0,0,7,46,97,2020-08-17 12:15:00
5,5974,9,1,0,7,37,59,2020-08-17 12:15:00
5,5978,8,1,1,8,32,94,2020-08-17 12:15:00
6,6411,7,1,0,4,30,75,2020-08-17 12:15:00
6,6412,17,4,1,12,67,242,2020-08-17 12:15:00
6,6413,2,0,0,2,29,62,2020-08-17 12:15:00
6,6414,6,3,3,4,26,79,2020-08-17 12:15:00
6,6431,5,0,0,5,24,25,2020-08-17 12:15:00
6,6432,2,1,0,2,6,23,2020-08-17 12:15:00
6,6433,2,1,0,2,1,21,2020-08-17 12:15:00
6,6434,3,0,0,3,7,22,2020-08-17 12:15:00
6,6435,6,0,0,4,15,74,2020-08-17 12:15:00
6,6436,2,1,0,2,4,23,2020-08-17 12:15:00
6,6437,2,0,0,2,16,110,2020-08-17 12:15:00
6,6438,2,0,0,2,7,25,2020-08-17 12:15:00
6,6439,2,0,0,2,7,11,2020-08-17 12:15:00
6,6440,5,1,1,5,20,75,2020-08-17 12:15:00
6,6531,6,3,1,4,42,209,2020-08-17 12:15:00
6,6532,2,0,0,2,13,48,2020-08-17 12:15:00
6,6533,4,1,1,4,27,32,2020-08-17 12:15:00
6,6534,3,0,0,3,23,126,2020-08-17 12:15:00
6,6535,4,0,0,4,15,22,2020-08-17 12:15:00
6,6611,6,2,1,6,47,154,2020-08-17 12:15:00
6,6631,5,0,0,3,18,76,2020-08-17 12:15:00
6,6632,3,0,0,3,34,42,2020-08-17 12:15:00
6,6633,4,0,0,4,11,23,2020-08-17 12:15:00
6,6634,3,0,0,3,24,19,2020-08-17 12:15:00
6,6635,7,0,0,7,39,85,2020-08-17 12:15:00
6,6636,3,0,0,3,20,24,2020-08-17 12:15:00
7,7111,6,2,1,4,62,76,2020-08-17 12:15:00
7,7131,2,0,0,2,12,14,2020-08-17 12:15:00
7,7132,2,1,0,2,6,10,2020-08-17 12:15:00
7,7133,6,0,0,4,25,28,2020-08-17 12:15:00
7,7134,2,0,0,2,6,16,2020-08-17 12:15:00
7,7135,2,0,0,2,7,6,2020-08-17 12:15:00
7,7137,4,1,0,4,23,23,2020-08-17 12:15:00
7,7138,7,0,0,5,27,61,2020-08-17 12:15:00
7,7140,2,0,0,2,2,12,2020-08-17 12:15:00
7,7141,5,0,0,5,18,28,2020-08-17 12:15:00
7,7143,4,1,0,4,16,25,2020-08-17 12:15:00
7,7211,6,1,1,3,48,79,2020-08-17 12:15:00
7,7231,2,0,0,2,5,19,2020-08-17 12:15:00
7,7232,2,0,0,2,5,10,2020-08-17 12:15:00
7,7233,2,1,1,2,11,10,2020-08-17 12:15:00
