bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,2,1,1,2,51,34,2020-05-25 09:15:00
1,1002,4,1,0,3,112,121,2020-05-25 09:15:00
1,1003,2,1,1,2,131,112,2020-05-25 09:15:00
1,1004,1,0,0,1,20,20,2020-05-25 09:15:00
1,1051,1,4,2,1,29,27,2020-05-25 09:15:00
1,1053,2,0,0,2,11,13,2020-05-25 09:15:00
1,1054,3,0,0,3,25,19,2020-05-25 09:15:00
1,1055,3,0,0,3,22,33,2020-05-25 09:15:00
1,1056,2,1,0,2,6,27,2020-05-25 09:15:00
1,1057,1,0,0,1,8,4,2020-05-25 09:15:00
1,1058,3,0,0,3,18,32,2020-05-25 09:15:00
1,1059,1,3,1,1,10,13,2020-05-25 09:15:00
1,1060,4,0,0,4,56,78,2020-05-25 09:15:00
1,1061,1,0,0,1,18,22,2020-05-25 09:15:00
1,1062,3,1,1,3,26,33,2020-05-25 09:15:00
2,2000,28,25,21,24,414,566,2020-05-25 09:15:00
3,3101,5,1,0,5,69,90,2020-05-25 09:15:00
3,3102,2,0,0,2,12,14,2020-05-25 09:15:00
3,3103,1,3,0,1,29,19,2020-05-25 09:15:00
3,3151,2,0,0,2,15,13,2020-05-25 09:15:00
3,3153,3,1,0,3,56,33,2020-05-25 09:15:00
3,3154,1,0,0,1,22,13,2020-05-25 09:15:00
3,3155,2,0,0,2,8,15,2020-05-25 09:15:00
3,3157,1,0,0,1,8,14,2020-05-25 09:15:00
3,3158,1,1,1,1,8,8,2020-05-25 09:15:00
3,3159,8,4,2,7,74,128,2020-05-25 09:15:00
3,3241,16,17,10,16,154,341,2020-05-25 09:15:00
3,3251,3,2,1,3,5,5,2020-05-25 09:15:00
3,3252,4,2,2,4,8,62,2020-05-25 09:15:00
3,3254,5,1,1,4,43,53,2020-05-25 09:15:00
3,3255,1,0,0,1,3,11,2020-05-25 09:15:00
3,3256,1,0,0,1,14,20,2020-05-25 09:15:00
3,3257,1,0,0,1,5,18,2020-05-25 09:15:00
3,3351,3,0,0,1,13,28,2020-05-25 09:15:00
3,3352,2,0,0,2,7,11,2020-05-25 09:15:00
3,3353,3,0,0,3,18,44,2020-05-25 09:15:00
3,3354,1,0,0,1,20,5,2020-05-25 09:15:00
3,3355,2,0,0,2,16,22,2020-05-25 09:15:00
3,3356,2,0,0,2,6,9,2020-05-25 09:15:00
3,3357,3,0,0,2,13,21,2020-05-25 09:15:00
3,3358,3,0,0,3,17,18,2020-05-25 09:15:00
3,3359,3,0,0,2,13,24,2020-05-25 09:15:00
3,3360,2,0,0,2,31,48,2020-05-25 09:15:00
3,3361,2,1,0,2,5,10,2020-05-25 09:15:00
3,3401,1,2,2,1,11,16,2020-05-25 09:15:00
3,3402,1,0,0,1,13,8,2020-05-25 09:15:00
3,3403,4,6,6,3,92,84,2020-05-25 09:15:00
3,3404,4,2,1,4,109,41,2020-05-25 09:15:00
3,3405,1,1,1,1,13,21,2020-05-25 09:15:00
3,3451,3,0,0,2,20,20,2020-05-25 09:15:00
3,3452,3,0,0,3,17,25,2020-05-25 09:15:00
3,3453,3,0,0,3,22,26,2020-05-25 09:15:00
3,3454,7,0,0,7,49,54,2020-05-25 09:15:00
3,3455,2,0,0,2,18,19,2020-05-25 09:15:00
3,3456,1,0,0,1,14,16,2020-05-25 09:15:00
3,3457,3,0,0,2,15,24,2020-05-25 09:15:00
3,3458,1,0,0,1,9,6,2020-05-25 09:15:00
3,3459,8,0,0,7,90,44,2020-05-25 09:15:00
3,3460,3,0,0,3,39,20,2020-05-25 09:15:00
3,3461,2,0,0,2,9,8,2020-05-25 09:15:00
3,3462,1,0,0,1,5,8,2020-05-25 09:15:00
4,4011,10,6,3,9,83,107,2020-05-25 09:15:00
4,4012,2,2,2,2,5,18,2020-05-25 09:15:00
5,5111,11,5,2,11,82,213,2020-05-25 09:15:00
5,5112,13,8,5,9,85,170,2020-05-25 09:15:00
5,5113,15,13,9,14,114,244,2020-05-25 09:15:00
5,5114,6,6,3,4,11,82,2020-05-25 09:15:00
5,5116,5,3,2,4,34,85,2020-05-25 09:15:00
5,5117,2,3,2,2,13,37,2020-05-25 09:15:00
5,5119,6,0,0,4,36,46,2020-05-25 09:15:00
5,5120,1,0,0,1,14,24,2020-05-25 09:15:00
5,5122,3,7,7,3,46,48,2020-05-25 09:15:00
5,5124,5,3,3,5,98,93,2020-05-25 09:15:00
5,5154,5,2,2,5,29,44,2020-05-25 09:15:00
5,5158,4,1,0,4,21,33,2020-05-25 09:15:00
5,5162,7,3,2,6,41,79,2020-05-25 09:15:00
5,5166,3,0,0,3,29,20,2020-05-25 09:15:00
5,5170,9,7,2,8,75,94,2020-05-25 09:15:00
5,5314,16,11,7,11,72,213,2020-05-25 09:15:00
5,5315,26,8,6,18,116,321,2020-05-25 09:15:00
5,5316,4,0,0,2,35,53,2020-05-25 09:15:00
5,5334,8,13,12,7,58,122,2020-05-25 09:15:00
5,5358,6,0,0,5,30,48,2020-05-25 09:15:00
5,5362,7,0,0,7,32,51,2020-05-25 09:15:00
5,5366,3,3,1,3,8,50,2020-05-25 09:15:00
5,5370,3,1,0,3,7,31,2020-05-25 09:15:00
5,5374,7,0,0,7,46,49,2020-05-25 09:15:00
5,5378,4,0,0,4,28,26,2020-05-25 09:15:00
5,5382,6,2,0,6,18,71,2020-05-25 09:15:00
5,5512,2,2,1,2,41,25,2020-05-25 09:15:00
5,5513,6,2,0,4,53,80,2020-05-25 09:15:00
5,5515,8,3,3,7,61,215,2020-05-25 09:15:00
5,5554,5,2,1,5,40,42,2020-05-25 09:15:00
5,5558,3,1,0,3,22,16,2020-05-25 09:15:00
5,5562,13,2,1,13,110,166,2020-05-25 09:15:00
5,5566,5,7,5,5,33,58,2020-05-25 09:15:00
5,5570,5,1,1,5,35,30,2020-05-25 09:15:00
5,5711,4,2,2,4,30,117,2020-05-25 09:15:00
5,5754,2,0,0,2,17,21,2020-05-25 09:15:00
5,5758,4,2,2,3,31,41,2020-05-25 09:15:00
5,5762,5,1,1,5,23,21,2020-05-25 09:15:00
5,5766,2,1,1,2,24,52,2020-05-25 09:15:00
5,5770,6,4,3,6,43,109,2020-05-25 09:15:00
5,5774,5,2,2,4,49,70,2020-05-25 09:15:00
5,5911,8,1,0,6,109,146,2020-05-25 09:15:00
5,5913,9,0,0,9,69,237,2020-05-25 09:15:00
5,5914,5,0,0,5,42,37,2020-05-25 09:15:00
5,5915,6,1,1,5,47,43,2020-05-25 09:15:00
5,5916,4,4,4,4,25,44,2020-05-25 09:15:00
5,5954,7,1,0,6,61,71,2020-05-25 09:15:00
5,5958,8,2,1,8,50,63,2020-05-25 09:15:00
5,5962,8,5,2,8,46,78,2020-05-25 09:15:00
5,5966,3,2,2,3,26,12,2020-05-25 09:15:00
5,5970,6,1,1,6,53,83,2020-05-25 09:15:00
5,5974,6,0,0,5,24,45,2020-05-25 09:15:00
5,5978,7,0,0,7,49,68,2020-05-25 09:15:00
6,6411,6,4,2,4,28,47,2020-05-25 09:15:00
6,6412,15,17,8,12,77,237,2020-05-25 09:15:00
6,6413,2,3,3,2,52,62,2020-05-25 09:15:00
6,6414,5,6,5,4,57,80,2020-05-25 09:15:00
6,6431,5,1,0,5,17,30,2020-05-25 09:15:00
6,6432,2,8,3,2,4,23,2020-05-25 09:15:00
6,6433,2,3,1,2,17,18,2020-05-25 09:15:00
6,6434,3,1,0,3,11,20,2020-05-25 09:15:00
6,6435,4,4,3,4,34,59,2020-05-25 09:15:00
6,6436,2,2,2,2,9,22,2020-05-25 09:15:00
6,6437,2,9,7,2,15,112,2020-05-25 09:15:00
6,6438,2,7,7,2,28,26,2020-05-25 09:15:00
6,6439,2,2,1,2,12,10,2020-05-25 09:15:00
6,6440,5,2,0,5,61,75,2020-05-25 09:15:00
6,6531,4,11,7,4,48,221,2020-05-25 09:15:00
6,6532,2,0,0,2,23,45,2020-05-25 09:15:00
6,6533,3,0,0,3,23,37,2020-05-25 09:15:00
6,6534,3,1,1,3,55,126,2020-05-25 09:15:00
6,6535,4,1,0,4,24,15,2020-05-25 09:15:00
6,6611,6,1,1,6,45,145,2020-05-25 09:15:00
6,6631,3,3,2,3,27,56,2020-05-25 09:15:00
6,6632,3,0,0,3,36,39,2020-05-25 09:15:00
6,6633,4,0,0,4,22,19,2020-05-25 09:15:00
6,6634,3,2,1,3,33,18,2020-05-25 09:15:00
6,6635,7,2,0,7,46,80,2020-05-25 09:15:00
6,6636,3,0,0,3,38,20,2020-05-25 09:15:00
7,7111,5,0,0,4,58,56,2020-05-25 09:15:00
7,7131,2,0,0,2,9,16,2020-05-25 09:15:00
7,7132,2,0,0,2,14,4,2020-05-25 09:15:00
7,7133,4,0,0,4,29,23,2020-05-25 09:15:00
7,7134,2,0,0,2,14,12,2020-05-25 09:15:00
7,7135,2,0,0,2,12,5,2020-05-25 09:15:00
7,7137,4,0,0,4,32,14,2020-05-25 09:15:00
7,7138,5,0,0,5,39,39,2020-05-25 09:15:00
7,7140,2,0,0,2,10,5,2020-05-25 09:15:00
7,7141,5,2,1,5,31,16,2020-05-25 09:15:00
7,7143,4,0,0,4,16,15,2020-05-25 09:15:00
7,7211,4,0,0,3,44,77,2020-05-25 09:15:00
7,7231,2,1,0,2,16,15,2020-05-25 09:15:00
7,7232,2,0,0,2,5,12,2020-05-25 09:15:00
7,7233,2,0,0,2,15,0,2020-05-25 09:15:00
7,7235,2,0,0,2,11,4,2020-05-25 09:15:00
7,7311,1,0,0,1,1,18,2020-05-25 09:15:00
7,7312,1,1,1,1,79,96,2020-05-25 09:15:00
7,7313,3,1,1,2,13,11,2020-05-25 09:15:00
7,7314,4,0,0,4,60,69,2020-05-25 09:15:00
7,7315,2,0,0,2,49,89,2020-05-25 09:15:00
7,7316,1,0,0,1,15,6,2020-05-25 09:15:00
7,7317,1,0,0,1,7,9,2020-05-25 09:15:00
7,7318,3,2,1,2,16,20,2020-05-25 09:15:00
7,7319,1,1,0,1,5,26,2020-05-25 09:15:00
7,7320,1,0,0,1,8,6,2020-05-25 09:15:00
7,7331,1,2,2,1,1,7,2020-05-25 09:15:00
7,7332,2,1,1,2,12,6,2020-05-25 09:15:00
7,7333,2,0,0,2,4,8,2020-05-25 09:15:00
7,7334,2,0,0,2,22,7,2020-05-25 09:15:00
7,7335,1,0,0,1,9,5,2020-05-25 09:15:00
7,7336,1,0,0,1,2,14,2020-05-25 09:15:00
