bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,0,0,2,14,37,2020-11-04 12:15:00
1,1002,5,1,0,3,64,102,2020-11-04 12:15:00
1,1003,2,4,2,2,48,106,2020-11-04 12:15:00
1,1004,1,0,0,1,8,17,2020-11-04 12:15:00
1,1051,1,2,0,1,1,43,2020-11-04 12:15:00
1,1053,2,1,1,2,9,11,2020-11-04 12:15:00
1,1054,3,0,0,3,13,26,2020-11-04 12:15:00
1,1055,3,3,0,3,19,32,2020-11-04 12:15:00
1,1056,2,2,1,2,12,25,2020-11-04 12:15:00
1,1057,1,4,3,1,6,6,2020-11-04 12:15:00
1,1058,5,0,0,3,19,23,2020-11-04 12:15:00
1,1059,1,2,0,1,7,17,2020-11-04 12:15:00
1,1060,4,1,0,4,46,74,2020-11-04 12:15:00
1,1061,3,1,0,1,15,34,2020-11-04 12:15:00
1,1062,3,5,3,3,10,39,2020-11-04 12:15:00
2,2000,34,53,29,24,219,581,2020-11-04 12:15:00
3,3101,7,2,2,5,43,102,2020-11-04 12:15:00
3,3102,2,3,2,2,7,22,2020-11-04 12:15:00
3,3103,1,2,0,1,12,24,2020-11-04 12:15:00
3,3151,2,2,0,2,10,26,2020-11-04 12:15:00
3,3153,2,1,1,2,47,26,2020-11-04 12:15:00
3,3154,1,0,0,1,12,22,2020-11-04 12:15:00
3,3155,2,1,0,2,12,11,2020-11-04 12:15:00
3,3157,1,3,2,1,9,13,2020-11-04 12:15:00
3,3158,1,2,1,1,10,6,2020-11-04 12:15:00
3,3159,8,5,3,7,55,136,2020-11-04 12:15:00
3,3241,18,19,14,16,207,326,2020-11-04 12:15:00
3,3251,3,12,10,3,3,17,2020-11-04 12:15:00
3,3252,6,0,0,4,17,54,2020-11-04 12:15:00
3,3254,7,5,3,4,24,52,2020-11-04 12:15:00
3,3255,1,0,0,1,4,10,2020-11-04 12:15:00
3,3256,1,0,0,1,4,20,2020-11-04 12:15:00
3,3257,1,3,1,1,1,22,2020-11-04 12:15:00
3,3351,2,5,3,1,7,28,2020-11-04 12:15:00
3,3352,2,4,2,2,4,11,2020-11-04 12:15:00
3,3353,3,1,1,3,9,27,2020-11-04 12:15:00
3,3354,1,0,0,1,2,4,2020-11-04 12:15:00
3,3355,4,2,1,2,14,30,2020-11-04 12:15:00
3,3356,3,1,1,2,1,12,2020-11-04 12:15:00
3,3357,3,3,3,2,7,31,2020-11-04 12:15:00
3,3358,2,3,0,2,7,13,2020-11-04 12:15:00
3,3359,3,1,0,2,8,25,2020-11-04 12:15:00
3,3360,2,0,0,2,20,62,2020-11-04 12:15:00
