bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,2,2,2,16,33,2020-12-16 13:15:00
1,1002,5,6,3,3,51,115,2020-12-16 13:15:00
1,1003,2,7,6,2,25,113,2020-12-16 13:15:00
1,1004,1,1,1,1,3,22,2020-12-16 13:15:00
1,1051,1,1,1,1,6,38,2020-12-16 13:15:00
1,1053,2,1,0,2,8,12,2020-12-16 13:15:00
1,1054,3,0,0,3,7,18,2020-12-16 13:15:00
1,1055,3,0,0,3,15,36,2020-12-16 13:15:00
1,1056,2,3,1,2,3,30,2020-12-16 13:15:00
1,1057,1,0,0,1,2,10,2020-12-16 13:15:00
1,1058,5,0,0,3,21,21,2020-12-16 13:15:00
1,1059,1,0,0,1,9,15,2020-12-16 13:15:00
1,1060,4,1,1,4,42,75,2020-12-16 13:15:00
1,1061,3,3,0,1,17,32,2020-12-16 13:15:00
1,1062,3,3,3,3,11,37,2020-12-16 13:15:00
2,2000,34,95,50,24,121,566,2020-12-16 13:15:00
3,3101,7,6,3,5,33,106,2020-12-16 13:15:00
3,3102,2,5,4,2,16,13,2020-12-16 13:15:00
3,3103,1,2,1,1,7,29,2020-12-16 13:15:00
3,3151,2,2,0,2,7,13,2020-12-16 13:15:00
3,3153,3,1,1,3,7,31,2020-12-16 13:15:00
3,3154,1,1,0,1,2,13,2020-12-16 13:15:00
3,3155,2,2,2,2,8,13,2020-12-16 13:15:00
3,3157,1,6,1,1,0,16,2020-12-16 13:15:00
3,3158,1,1,1,1,3,13,2020-12-16 13:15:00
3,3159,8,10,3,7,35,132,2020-12-16 13:15:00
3,3241,19,36,22,16,74,356,2020-12-16 13:15:00
3,3251,3,4,3,3,5,12,2020-12-16 13:15:00
3,3252,6,7,5,4,11,58,2020-12-16 13:15:00
3,3254,7,8,6,4,14,56,2020-12-16 13:15:00
3,3255,1,0,0,1,1,12,2020-12-16 13:15:00
3,3256,1,0,0,1,4,20,2020-12-16 13:15:00
3,3257,1,3,1,1,2,23,2020-12-16 13:15:00
3,3351,2,3,2,1,3,24,2020-12-16 13:15:00
3,3352,2,1,0,2,10,5,2020-12-16 13:15:00
3,3353,3,1,0,3,7,29,2020-12-16 13:15:00
3,3354,1,0,0,1,0,7,2020-12-16 13:15:00
3,3355,4,4,1,2,14,30,2020-12-16 13:15:00
3,3356,3,0,0,2,4,8,2020-12-16 13:15:00
3,3357,3,1,0,2,11,23,2020-12-16 13:15:00
3,3358,2,4,1,2,3,17,2020-12-16 13:15:00
3,3359,3,1,0,2,4,27,2020-12-16 13:15:00
3,3360,2,1,1,2,17,61,2020-12-16 13:15:00
3,3361,2,1,1,2,4,10,2020-12-16 13:15:00
3,3401,1,5,5,1,1,16,2020-12-16 13:15:00
3,3402,1,2,0,1,8,12,2020-12-16 13:15:00
3,3403,5,9,7,3,13,94,2020-12-16 13:15:00
3,3404,5,18,13,4,15,117,2020-12-16 13:15:00
3,3405,2,6,2,1,10,30,2020-12-16 13:15:00
3,3451,3,4,2,2,4,29,2020-12-16 13:15:00
3,3452,4,1,0,3,14,25,2020-12-16 13:15:00
3,3453,3,5,4,3,4,26,2020-12-16 13:15:00
3,3454,10,6,4,6,31,64,2020-12-16 13:15:00
3,3455,2,3,1,2,8,25,2020-12-16 13:15:00
3,3456,1,4,1,1,6,22,2020-12-16 13:15:00
3,3457,6,1,1,4,16,16,2020-12-16 13:15:00
3,3458,1,2,0,1,4,8,2020-12-16 13:15:00
