bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,1,1,2,10,40,2020-12-09 12:15:00
1,1002,5,7,6,3,54,112,2020-12-09 12:15:00
1,1003,2,4,1,2,27,111,2020-12-09 12:15:00
1,1004,1,1,0,1,4,21,2020-12-09 12:15:00
1,1051,1,0,0,1,4,40,2020-12-09 12:15:00
1,1053,2,2,0,2,6,14,2020-12-09 12:15:00
1,1054,3,0,0,3,8,21,2020-12-09 12:15:00
1,1055,3,0,0,3,11,40,2020-12-09 12:15:00
1,1056,2,5,2,2,4,30,2020-12-09 12:15:00
1,1057,1,1,0,1,4,8,2020-12-09 12:15:00
1,1058,5,0,0,3,18,24,2020-12-09 12:15:00
1,1059,1,0,0,1,7,17,2020-12-09 12:15:00
1,1060,4,2,2,4,42,75,2020-12-09 12:15:00
1,1061,3,2,1,1,17,32,2020-12-09 12:15:00
1,1062,3,1,1,3,13,36,2020-12-09 12:15:00
2,2000,34,91,61,24,129,550,2020-12-09 12:15:00
3,3101,7,5,3,5,47,92,2020-12-09 12:15:00
3,3102,2,3,3,2,10,19,2020-12-09 12:15:00
3,3103,1,3,1,1,10,26,2020-12-09 12:15:00
3,3151,2,2,0,2,6,14,2020-12-09 12:15:00
3,3153,3,1,0,3,7,31,2020-12-09 12:15:00
3,3154,1,0,0,1,12,14,2020-12-09 12:15:00
3,3155,2,0,0,2,5,16,2020-12-09 12:15:00
3,3157,1,5,1,1,0,16,2020-12-09 12:15:00
3,3158,1,3,3,1,4,12,2020-12-09 12:15:00
3,3159,8,10,2,7,45,141,2020-12-09 12:15:00
3,3241,19,36,21,16,58,370,2020-12-09 12:15:00
3,3251,3,3,3,3,8,11,2020-12-09 12:15:00
3,3252,6,3,3,4,16,55,2020-12-09 12:15:00
3,3254,7,8,4,4,12,60,2020-12-09 12:15:00
3,3255,1,0,0,1,0,14,2020-12-09 12:15:00
3,3256,1,0,0,1,5,19,2020-12-09 12:15:00
3,3257,1,6,1,1,2,23,2020-12-09 12:15:00
3,3351,2,2,1,1,5,25,2020-12-09 12:15:00
3,3352,2,3,3,2,4,11,2020-12-09 12:15:00
3,3353,3,2,1,3,4,32,2020-12-09 12:15:00
3,3354,1,0,0,1,0,8,2020-12-09 12:15:00
3,3355,4,3,1,2,7,37,2020-12-09 12:15:00
3,3356,3,1,1,2,3,10,2020-12-09 12:15:00
3,3357,3,1,1,2,10,24,2020-12-09 12:15:00
3,3358,2,1,0,2,6,14,2020-12-09 12:15:00
3,3359,3,1,0,2,6,25,2020-12-09 12:15:00
3,3360,2,2,1,2,18,60,2020-12-09 12:15:00
3,3361,2,1,1,2,5,10,2020-12-09 12:15:00
3,3401,1,5,4,1,0,18,2020-12-09 12:15:00
3,3402,1,0,0,1,5,15,2020-12-09 12:15:00
3,3403,5,11,5,3,11,98,2020-12-09 12:15:00
3,3404,5,17,10,4,20,112,2020-12-09 12:15:00
3,3405,3,6,2,1,19,26,2020-12-09 12:15:00
3,3451,3,4,2,2,4,29,2020-12-09 12:15:00
3,3452,4,1,0,3,12,27,2020-12-09 12:15:00
3,3453,3,5,4,3,4,26,2020-12-09 12:15:00
3,3454,10,6,4,6,29,66,2020-12-09 12:15:00
3,3455,2,2,1,2,8,29,2020-12-09 12:15:00
3,3456,1,4,1,1,5,23,2020-12-09 12:15:00
3,3457,6,2,1,4,17,15,2020-12-09 12:15:00
3,3458,1,2,2,1,1,6,2020-12-09 12:15:00
