bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,2,1,1,2,48,36,2020-05-13 09:15:00
1,1002,5,2,2,3,121,121,2020-05-13 09:15:00
1,1003,2,2,2,2,115,108,2020-05-13 09:15:00
1,1004,1,0,0,1,22,18,2020-05-13 09:15:00
1,1051,1,2,2,1,56,32,2020-05-13 09:15:00
1,1053,2,0,0,2,10,14,2020-05-13 09:15:00
1,1054,1,0,0,1,8,2,2020-05-13 09:15:00
1,1055,3,0,0,3,20,34,2020-05-13 09:15:00
1,1056,2,2,1,2,3,30,2020-05-13 09:15:00
1,1057,1,0,0,1,1,11,2020-05-13 09:15:00
1,1058,2,1,0,2,27,24,2020-05-13 09:15:00
1,1059,1,0,0,1,13,11,2020-05-13 09:15:00
1,1060,3,0,0,3,52,74,2020-05-13 09:15:00
1,1061,1,0,0,1,15,25,2020-05-13 09:15:00
1,1062,3,0,0,3,20,38,2020-05-13 09:15:00
2,2000,24,50,41,22,342,546,2020-05-13 09:15:00
3,3101,5,2,2,5,58,93,2020-05-13 09:15:00
3,3102,2,2,0,2,1,27,2020-05-13 09:15:00
3,3103,1,2,1,1,29,19,2020-05-13 09:15:00
3,3151,1,0,0,1,12,10,2020-05-13 09:15:00
3,3153,3,6,4,3,34,40,2020-05-13 09:15:00
3,3154,1,1,1,1,18,16,2020-05-13 09:15:00
3,3155,2,1,1,2,6,17,2020-05-13 09:15:00
3,3157,1,0,0,1,13,9,2020-05-13 09:15:00
3,3158,1,3,3,1,8,8,2020-05-13 09:15:00
3,3159,6,6,4,6,51,126,2020-05-13 09:15:00
3,3241,16,27,18,16,157,348,2020-05-13 09:15:00
3,3251,3,2,1,3,9,8,2020-05-13 09:15:00
3,3252,4,2,2,4,15,61,2020-05-13 09:15:00
3,3254,4,4,4,4,39,49,2020-05-13 09:15:00
3,3255,1,0,0,1,4,10,2020-05-13 09:15:00
3,3256,1,0,0,1,18,16,2020-05-13 09:15:00
3,3257,1,2,1,1,3,20,2020-05-13 09:15:00
3,3351,3,0,0,1,26,21,2020-05-13 09:15:00
3,3352,2,0,0,2,6,10,2020-05-13 09:15:00
3,3353,2,3,0,2,22,15,2020-05-13 09:15:00
3,3354,1,0,0,1,24,3,2020-05-13 09:15:00
3,3355,1,0,0,1,21,17,2020-05-13 09:15:00
3,3356,2,0,0,2,2,14,2020-05-13 09:15:00
3,3357,3,0,0,2,13,21,2020-05-13 09:15:00
3,3358,3,0,0,3,20,22,2020-05-13 09:15:00
3,3359,3,0,0,2,13,22,2020-05-13 09:15:00
3,3360,2,1,0,2,29,23,2020-05-13 09:15:00
3,3361,2,0,0,2,4,13,2020-05-13 09:15:00
3,3401,1,2,2,1,17,12,2020-05-13 09:15:00
3,3402,1,0,0,1,13,8,2020-05-13 09:15:00
