bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,0,0,2,19,36,2020-09-03 12:15:00
1,1002,5,0,0,3,117,112,2020-09-03 12:15:00
1,1003,2,0,0,2,105,112,2020-09-03 12:15:00
1,1004,1,0,0,1,5,20,2020-09-03 12:15:00
1,1051,1,0,0,1,20,34,2020-09-03 12:15:00
1,1053,2,1,0,2,11,13,2020-09-03 12:15:00
1,1054,3,0,0,3,9,30,2020-09-03 12:15:00
1,1055,3,0,0,3,21,31,2020-09-03 12:15:00
1,1056,2,1,1,2,8,29,2020-09-03 12:15:00
1,1057,1,0,0,1,6,6,2020-09-03 12:15:00
1,1058,5,0,0,3,14,40,2020-09-03 12:15:00
1,1059,1,0,0,1,8,16,2020-09-03 12:15:00
1,1060,4,0,0,4,41,79,2020-09-03 12:15:00
1,1061,3,0,0,1,18,31,2020-09-03 12:15:00
1,1062,3,0,0,3,23,32,2020-09-03 12:15:00
2,2000,34,6,5,24,302,575,2020-09-03 12:15:00
3,3101,7,0,0,5,49,101,2020-09-03 12:15:00
3,3102,2,0,0,2,7,22,2020-09-03 12:15:00
3,3103,1,0,0,1,14,20,2020-09-03 12:15:00
3,3151,2,0,0,2,16,20,2020-09-03 12:15:00
3,3153,3,0,0,3,36,46,2020-09-03 12:15:00
3,3154,1,0,0,1,15,19,2020-09-03 12:15:00
3,3155,2,0,0,2,7,16,2020-09-03 12:15:00
3,3157,1,0,0,1,14,8,2020-09-03 12:15:00
3,3158,1,0,0,1,6,10,2020-09-03 12:15:00
3,3159,8,0,0,7,54,142,2020-09-03 12:15:00
3,3241,19,4,4,16,141,355,2020-09-03 12:15:00
3,3251,3,0,0,3,8,9,2020-09-03 12:15:00
3,3252,6,1,0,4,12,63,2020-09-03 12:15:00
3,3254,7,1,1,4,41,51,2020-09-03 12:15:00
3,3255,1,0,0,1,3,11,2020-09-03 12:15:00
3,3256,1,0,0,1,7,19,2020-09-03 12:15:00
3,3257,1,0,0,1,1,22,2020-09-03 12:15:00
3,3351,3,0,0,1,12,29,2020-09-03 12:15:00
3,3352,2,0,0,2,18,8,2020-09-03 12:15:00
3,3353,3,1,0,3,5,35,2020-09-03 12:15:00
3,3354,1,0,0,1,8,7,2020-09-03 12:15:00
3,3355,4,0,0,2,23,36,2020-09-03 12:15:00
3,3356,3,0,0,2,7,8,2020-09-03 12:15:00
3,3357,3,0,0,2,16,22,2020-09-03 12:15:00
3,3358,3,1,1,3,5,29,2020-09-03 12:15:00
3,3359,3,0,0,2,10,23,2020-09-03 12:15:00
3,3360,2,0,0,2,20,62,2020-09-03 12:15:00
3,3361,2,0,0,2,3,12,2020-09-03 12:15:00
3,3401,1,0,0,1,9,13,2020-09-03 12:15:00
3,3402,1,0,0,1,7,13,2020-09-03 12:15:00
3,3403,5,0,0,3,54,105,2020-09-03 12:15:00
3,3404,5,2,1,4,22,104,2020-09-03 12:15:00
3,3405,2,0,0,1,20,20,2020-09-03 12:15:00
3,3451,3,0,0,2,2,31,2020-09-03 12:15:00
3,3452,4,0,0,3,13,31,2020-09-03 12:15:00
3,3453,3,0,0,3,17,19,2020-09-03 12:15:00
3,3454,11,1,0,7,35,84,2020-09-03 12:15:00
3,3455,2,0,0,2,8,29,2020-09-03 12:15:00
3,3456,1,0,0,1,10,20,2020-09-03 12:15:00
3,3457,4,0,0,2,26,16,2020-09-03 12:15:00
3,3458,1,0,0,1,3,7,2020-09-03 12:15:00
3,3459,7,1,0,6,51,74,2020-09-03 12:15:00
3,3460,5,0,0,3,16,25,2020-09-03 12:15:00
3,3461,2,0,0,2,8,9,2020-09-03 12:15:00
3,3462,1,0,0,1,2,6,2020-09-03 12:15:00
4,4011,10,2,2,9,38,136,2020-09-03 12:15:00
4,4012,4,1,0,3,25,40,2020-09-03 12:15:00
5,5111,13,6,4,11,47,245,2020-09-03 12:15:00
5,5112,15,7,6,9,87,166,2020-09-03 12:15:00
5,5113,17,7,7,14,79,343,2020-09-03 12:15:00
5,5114,7,1,1,4,28,71,2020-09-03 12:15:00
5,5116,6,0,0,4,24,75,2020-09-03 12:15:00
5,5117,2,0,0,2,28,27,2020-09-03 12:15:00
5,5119,7,0,0,4,32,61,2020-09-03 12:15:00
5,5120,1,1,1,1,14,22,2020-09-03 12:15:00
5,5122,4,0,0,3,28,58,2020-09-03 12:15:00
5,5124,7,2,2,5,42,120,2020-09-03 12:15:00
5,5154,8,1,1,5,40,36,2020-09-03 12:15:00
5,5158,5,0,0,4,25,31,2020-09-03 12:15:00
5,5162,7,2,1,5,38,78,2020-09-03 12:15:00
5,5166,4,0,0,4,16,28,2020-09-03 12:15:00
5,5170,11,6,2,8,115,92,2020-09-03 12:15:00
5,5314,18,4,2,11,59,233,2020-09-03 12:15:00
5,5315,31,13,7,18,83,408,2020-09-03 12:15:00
5,5316,5,1,0,2,30,76,2020-09-03 12:15:00
5,5334,13,4,3,7,38,243,2020-09-03 12:15:00
5,5358,7,1,0,5,31,47,2020-09-03 12:15:00
5,5362,7,1,0,7,26,52,2020-09-03 12:15:00
5,5366,3,0,0,3,7,25,2020-09-03 12:15:00
5,5370,3,0,0,3,12,24,2020-09-03 12:15:00
5,5374,7,0,0,7,36,81,2020-09-03 12:15:00
5,5378,4,0,0,4,12,40,2020-09-03 12:15:00
5,5382,7,0,0,6,19,73,2020-09-03 12:15:00
5,5512,2,0,0,2,40,27,2020-09-03 12:15:00
5,5513,8,2,1,4,48,77,2020-09-03 12:15:00
5,5515,9,3,0,7,41,228,2020-09-03 12:15:00
5,5554,6,0,0,5,23,55,2020-09-03 12:15:00
5,5558,5,0,0,3,17,34,2020-09-03 12:15:00
5,5562,15,1,0,14,71,171,2020-09-03 12:15:00
5,5566,7,0,0,5,39,69,2020-09-03 12:15:00
5,5570,6,1,1,5,34,39,2020-09-03 12:15:00
5,5711,6,1,1,4,45,125,2020-09-03 12:15:00
5,5754,3,1,1,3,10,29,2020-09-03 12:15:00
5,5758,5,1,1,3,27,49,2020-09-03 12:15:00
5,5762,5,0,0,5,25,23,2020-09-03 12:15:00
5,5766,2,0,0,2,28,49,2020-09-03 12:15:00
5,5770,8,0,0,6,68,199,2020-09-03 12:15:00
5,5774,7,1,1,5,48,91,2020-09-03 12:15:00
5,5911,8,3,1,6,60,164,2020-09-03 12:15:00
5,5913,9,3,2,9,64,227,2020-09-03 12:15:00
5,5914,7,5,3,5,20,59,2020-09-03 12:15:00
5,5915,7,1,1,5,45,69,2020-09-03 12:15:00
5,5916,4,2,2,4,22,43,2020-09-03 12:15:00
5,5954,7,1,0,6,28,104,2020-09-03 12:15:00
5,5958,9,2,0,8,32,88,2020-09-03 12:15:00
5,5962,10,0,0,8,35,89,2020-09-03 12:15:00
5,5966,3,0,0,3,21,17,2020-09-03 12:15:00
5,5970,8,0,0,7,38,105,2020-09-03 12:15:00
5,5974,9,0,0,7,24,71,2020-09-03 12:15:00
5,5978,8,0,0,8,31,86,2020-09-03 12:15:00
6,6411,7,0,0,4,31,79,2020-09-03 12:15:00
6,6412,17,5,0,12,67,241,2020-09-03 12:15:00
6,6413,4,0,0,2,19,85,2020-09-03 12:15:00
6,6414,6,2,2,4,29,75,2020-09-03 12:15:00
6,6431,5,0,0,5,19,30,2020-09-03 12:15:00
6,6432,2,0,0,2,6,23,2020-09-03 12:15:00
6,6433,2,1,0,2,1,21,2020-09-03 12:15:00
6,6434,3,0,0,3,8,21,2020-09-03 12:15:00
6,6435,7,0,0,4,25,63,2020-09-03 12:15:00
6,6436,2,1,0,2,3,26,2020-09-03 12:15:00
6,6437,2,0,0,2,16,110,2020-09-03 12:15:00
6,6438,2,2,2,2,8,24,2020-09-03 12:15:00
6,6439,2,0,0,2,13,5,2020-09-03 12:15:00
6,6440,5,0,0,5,22,70,2020-09-03 12:15:00
6,6531,6,1,0,4,46,192,2020-09-03 12:15:00
6,6532,2,0,0,2,19,42,2020-09-03 12:15:00
6,6533,4,1,1,4,19,40,2020-09-03 12:15:00
6,6534,3,0,0,3,21,131,2020-09-03 12:15:00
6,6535,4,0,0,4,18,19,2020-09-03 12:15:00
6,6611,6,1,0,6,58,153,2020-09-03 12:15:00
6,6631,5,1,0,3,15,79,2020-09-03 12:15:00
6,6632,3,0,0,3,30,46,2020-09-03 12:15:00
6,6633,4,0,0,4,14,20,2020-09-03 12:15:00
6,6634,3,0,0,3,21,22,2020-09-03 12:15:00
6,6635,7,0,0,7,53,74,2020-09-03 12:15:00
6,6636,3,0,0,3,23,21,2020-09-03 12:15:00
7,7111,6,0,0,4,53,85,2020-09-03 12:15:00
7,7131,2,1,0,2,4,15,2020-09-03 12:15:00
7,7132,2,0,0,2,12,4,2020-09-03 12:15:00
7,7133,6,0,0,4,29,25,2020-09-03 12:15:00
7,7134,2,0,0,2,7,16,2020-09-03 12:15:00
7,7135,2,0,0,2,10,3,2020-09-03 12:15:00
7,7137,4,0,0,4,19,27,2020-09-03 12:15:00
7,7138,7,0,0,5,31,57,2020-09-03 12:15:00
7,7140,2,0,0,2,1,13,2020-09-03 12:15:00
7,7141,5,0,0,5,21,25,2020-09-03 12:15:00
7,7143,4,0,0,4,17,24,2020-09-03 12:15:00
7,7211,6,2,1,3,35,92,2020-09-03 12:15:00
7,7231,2,0,0,2,9,15,2020-09-03 12:15:00
7,7232,2,0,0,2,4,10,2020-09-03 12:15:00
7,7233,2,0,0,2,16,5,2020-09-03 12:15:00
7,7235,2,0,0,2,9,7,2020-09-03 12:15:00
7,7311,1,0,0,1,8,14,2020-09-03 12:15:00
7,7312,3,0,0,1,55,114,2020-09-03 12:15:00
7,7313,3,0,0,2,15,14,2020-09-03 12:15:00
7,7314,6,0,0,4,36,85,2020-09-03 12:15:00
7,7315,2,0,0,2,26,87,2020-09-03 12:15:00
7,7316,1,0,0,1,5,16,2020-09-03 12:15:00
7,7317,2,1,1,1,7,9,2020-09-03 12:15:00
7,7318,3,0,0,2,34,22,2020-09-03 12:15:00
7,7319,3,0,0,1,5,42,2020-09-03 12:15:00
7,7320,1,0,0,1,9,5,2020-09-03 12:15:00
7,7331,1,0,0,1,2,6,2020-09-03 12:15:00
7,7332,2,2,0,2,6,13,2020-09-03 12:15:00
7,7333,2,0,0,2,4,8,2020-09-03 12:15:00
7,7334,2,0,0,2,15,14,2020-09-03 12:15:00
7,7335,1,0,0,1,10,4,2020-09-03 12:15:00
7,7336,1,0,0,1,6,13,2020-09-03 12:15:00
7,7337,2,0,0,2,7,10,2020-09-03 12:15:00
7,7339,2,1,1,2,12,12,2020-09-03 12:15:00
7,7340,1,0,0,1,6,3,2020-09-03 12:15:00
8,8111,11,8,3,9,65,253,2020-09-03 12:15:00
8,8115,6,2,2,4,11,51,2020-09-03 12:15:00
8,8116,8,3,1,4,34,67,2020-09-03 12:15:00
8,8117,5,0,0,3,46,35,2020-09-03 12:15:00
8,8118,5,7,6,4,47,103,2020-09-03 12:15:00
8,8119,4,1,0,2,18,43,2020-09-03 12:15:00
8,8121,3,0,0,1,42,41,2020-09-03 12:15:00
8,8125,2,0,0,2,16,36,2020-09-03 12:15:00
8,8126,1,0,0,1,3,9,2020-09-03 12:15:00
8,8127,4,0,0,2,18,37,2020-09-03 12:15:00
8,8128,4,1,1,3,48,34,2020-09-03 12:15:00
8,8135,2,0,0,1,7,17,2020-09-03 12:15:00
8,8136,8,0,0,4,17,55,2020-09-03 12:15:00
8,8211,3,0,0,1,7,20,2020-09-03 12:15:00
8,8212,6,0,0,4,47,117,2020-09-03 12:15:00
8,8215,3,1,1,3,7,41,2020-09-03 12:15:00
8,8216,2,0,0,2,0,15,2020-09-03 12:15:00
8,8221,6,3,0,6,88,226,2020-09-03 12:15:00
8,8222,6,0,0,3,14,102,2020-09-03 12:15:00
8,8225,3,0,0,3,2,15,2020-09-03 12:15:00
8,8226,4,0,0,4,13,32,2020-09-03 12:15:00
8,8231,4,0,0,2,29,43,2020-09-03 12:15:00
8,8235,3,0,0,3,10,22,2020-09-03 12:15:00
8,8236,2,0,0,2,7,8,2020-09-03 12:15:00
8,8237,1,0,0,1,6,8,2020-09-03 12:15:00
8,8311,7,4,2,4,22,182,2020-09-03 12:15:00
8,8315,4,0,0,4,31,49,2020-09-03 12:15:00
8,8316,3,0,0,3,3,89,2020-09-03 12:15:00
8,8317,8,0,0,6,40,65,2020-09-03 12:15:00
8,8325,2,0,0,2,1,15,2020-09-03 12:15:00
8,8326,6,1,0,2,53,58,2020-09-03 12:15:00
8,8327,1,0,0,1,3,9,2020-09-03 12:15:00
8,8335,10,0,0,6,27,77,2020-09-03 12:15:00
8,8336,2,0,0,2,23,15,2020-09-03 12:15:00
8,8337,2,0,0,2,10,14,2020-09-03 12:15:00
8,8415,3,0,0,1,10,40,2020-09-03 12:15:00
8,8416,5,0,0,2,14,94,2020-09-03 12:15:00
8,8417,1,0,0,1,5,23,2020-09-03 12:15:00
8,8421,5,0,0,4,57,99,2020-09-03 12:15:00
8,8425,2,0,0,2,5,11,2020-09-03 12:15:00
8,8426,1,0,0,1,9,5,2020-09-03 12:15:00
8,8435,3,0,0,3,30,31,2020-09-03 12:15:00
8,8436,6,1,0,4,17,54,2020-09-03 12:15:00
8,8437,2,0,0,2,4,15,2020-09-03 12:15:00
9,9161,2,0,0,1,7,39,2020-09-03 12:15:00
9,9162,35,11,5,26,124,521,2020-09-03 12:15:00
9,9163,1,0,0,1,6,23,2020-09-03 12:15:00
9,9171,3,0,0,2,4,35,2020-09-03 12:15:00
9,9172,3,0,0,3,5,15,2020-09-03 12:15:00
9,9173,2,0,0,2,5,23,2020-09-03 12:15:00
9,9174,1,0,0,1,1,29,2020-09-03 12:15:00
9,9175,1,1,1,1,8,12,2020-09-03 12:15:00
9,9176,3,0,0,3,8,53,2020-09-03 12:15:00
9,9177,1,0,0,1,7,20,2020-09-03 12:15:00
9,9178,1,0,0,1,2,18,2020-09-03 12:15:00
9,9179,1,0,0,1,5,10,2020-09-03 12:15:00
9,9180,4,1,1,2,39,57,2020-09-03 12:15:00
9,9182,1,0,0,1,5,9,2020-09-03 12:15:00
9,9183,1,0,0,1,9,11,2020-09-03 12:15:00
9,9184,2,0,0,2,5,8,2020-09-03 12:15:00
9,9185,4,0,0,2,12,34,2020-09-03 12:15:00
9,9186,1,0,0,1,5,3,2020-09-03 12:15:00
9,9187,5,0,0,5,22,50,2020-09-03 12:15:00
9,9188,6,1,0,5,45,53,2020-09-03 12:15:00
9,9189,3,0,0,2,13,49,2020-09-03 12:15:00
9,9190,3,0,0,3,19,17,2020-09-03 12:15:00
9,9261,2,1,1,2,20,38,2020-09-03 12:15:00
9,9262,4,0,0,2,22,34,2020-09-03 12:15:00
9,9263,1,0,0,1,25,18,2020-09-03 12:15:00
9,9271,2,0,0,2,1,30,2020-09-03 12:15:00
9,9272,2,0,0,2,8,14,2020-09-03 12:15:00
9,9273,3,0,0,3,16,8,2020-09-03 12:15:00
9,9274,1,0,0,1,4,6,2020-09-03 12:15:00
9,9275,1,0,0,1,3,19,2020-09-03 12:15:00
9,9276,2,0,0,2,8,8,2020-09-03 12:15:00
9,9277,1,1,1,1,2,12,2020-09-03 12:15:00
9,9278,2,0,0,2,7,6,2020-09-03 12:15:00
9,9279,2,0,0,2,15,10,2020-09-03 12:15:00
9,9361,3,0,0,1,24,28,2020-09-03 12:15:00
9,9362,4,2,1,3,61,162,2020-09-03 12:15:00
9,9363,1,1,0,1,9,47,2020-09-03 12:15:00
9,9371,1,0,0,1,9,5,2020-09-03 12:15:00
9,9372,1,0,0,1,5,12,2020-09-03 12:15:00
9,9373,1,0,0,1,10,12,2020-09-03 12:15:00
9,9375,2,0,0,2,2,12,2020-09-03 12:15:00
9,9376,4,0,0,4,35,16,2020-09-03 12:15:00
9,9377,1,0,0,1,2,10,2020-09-03 12:15:00
9,9461,5,0,0,1,22,36,2020-09-03 12:15:00
9,9462,7,0,0,2,11,57,2020-09-03 12:15:00
9,9463,3,0,0,1,8,35,2020-09-03 12:15:00
9,9464,3,0,0,1,8,28,2020-09-03 12:15:00
9,9471,2,0,0,2,9,7,2020-09-03 12:15:00
9,9472,1,0,0,1,6,1,2020-09-03 12:15:00
9,9474,2,0,0,2,1,13,2020-09-03 12:15:00
9,9475,2,1,1,2,3,14,2020-09-03 12:15:00
9,9476,1,0,0,1,8,7,2020-09-03 12:15:00
9,9477,1,0,0,1,5,32,2020-09-03 12:15:00
9,9478,3,0,0,3,23,28,2020-09-03 12:15:00
9,9479,2,0,0,2,12,8,2020-09-03 12:15:00
9,9561,2,0,0,2,10,17,2020-09-03 12:15:00
9,9562,3,2,2,3,29,112,2020-09-03 12:15:00
9,9563,4,0,0,2,12,36,2020-09-03 12:15:00
9,9564,12,5,4,6,104,182,2020-09-03 12:15:00
9,9565,1,0,0,1,4,3,2020-09-03 12:15:00
9,9571,3,0,0,3,12,14,2020-09-03 12:15:00
9,9572,1,0,0,1,0,6,2020-09-03 12:15:00
9,9574,3,0,0,3,12,14,2020-09-03 12:15:00
9,9575,2,0,0,2,6,49,2020-09-03 12:15:00
9,9576,1,0,0,1,3,7,2020-09-03 12:15:00
9,9577,2,0,0,2,1,15,2020-09-03 12:15:00
9,9661,3,0,0,1,17,48,2020-09-03 12:15:00
9,9662,2,0,0,2,8,41,2020-09-03 12:15:00
9,9663,4,1,1,3,36,121,2020-09-03 12:15:00
9,9671,1,0,0,1,3,6,2020-09-03 12:15:00
9,9672,4,0,0,4,9,42,2020-09-03 12:15:00
9,9673,1,1,1,1,30,132,2020-09-03 12:15:00
9,9674,2,0,0,2,2,9,2020-09-03 12:15:00
9,9675,1,0,0,1,1,9,2020-09-03 12:15:00
9,9676,1,0,0,1,4,6,2020-09-03 12:15:00
9,9677,1,0,0,1,3,6,2020-09-03 12:15:00
9,9678,2,0,0,2,2,4,2020-09-03 12:15:00
9,9679,1,0,0,1,3,9,2020-09-03 12:15:00
9,9761,6,0,0,3,37,120,2020-09-03 12:15:00
9,9762,1,0,0,1,5,25,2020-09-03 12:15:00
9,9763,3,0,0,1,9,35,2020-09-03 12:15:00
9,9764,3,0,0,1,5,25,2020-09-03 12:15:00
9,9771,2,1,1,2,13,13,2020-09-03 12:15:00
9,9772,2,0,0,2,5,7,2020-09-03 12:15:00
9,9773,2,0,0,2,8,16,2020-09-03 12:15:00
9,9774,4,0,0,4,3,59,2020-09-03 12:15:00
9,9775,2,0,0,2,12,16,2020-09-03 12:15:00
9,9776,2,0,0,2,9,7,2020-09-03 12:15:00
9,9777,3,0,0,3,10,16,2020-09-03 12:15:00
9,9778,2,0,0,2,4,14,2020-09-03 12:15:00
9,9779,2,1,0,2,2,13,2020-09-03 12:15:00
9,9780,2,1,0,2,4,16,2020-09-03 12:15:00
10,10041,7,1,1,7,49,109,2020-09-03 12:15:00
10,10042,2,0,0,2,15,5,2020-09-03 12:15:00
10,10043,5,0,0,3,17,35,2020-09-03 12:15:00
10,10044,4,0,0,3,11,52,2020-09-03 12:15:00
10,10045,4,5,2,2,83,175,2020-09-03 12:15:00
10,10046,1,0,0,1,0,13,2020-09-03 12:15:00
11,11000,64,14,8,42,212,1067,2020-09-03 12:15:00
12,12051,4,0,0,3,21,37,2020-09-03 12:15:00
12,12052,3,0,0,2,33,72,2020-09-03 12:15:00
12,12053,1,0,0,1,4,11,2020-09-03 12:15:00
