bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,2,0,0,2,44,38,2020-05-01 09:15:00
1,1002,3,3,2,3,113,110,2020-05-01 09:15:00
1,1003,2,5,5,2,115,108,2020-05-01 09:15:00
1,1004,1,1,1,1,19,19,2020-05-01 09:15:00
1,1051,1,3,1,1,54,26,2020-05-01 09:15:00
1,1053,2,1,1,2,7,17,2020-05-01 09:15:00
1,1054,1,0,0,1,7,3,2020-05-01 09:15:00
1,1055,3,0,0,3,18,34,2020-05-01 09:15:00
1,1056,2,5,4,2,10,27,2020-05-01 09:15:00
1,1057,1,1,0,1,7,5,2020-05-01 09:15:00
1,1058,1,0,0,1,4,0,2020-05-01 09:15:00
1,1059,1,0,0,1,11,12,2020-05-01 09:15:00
1,1060,3,0,0,3,59,67,2020-05-01 09:15:00
1,1061,1,0,0,1,15,25,2020-05-01 09:15:00
1,1062,3,0,0,3,24,36,2020-05-01 09:15:00
2,2000,25,80,66,22,322,562,2020-05-01 09:15:00
3,3101,5,6,4,5,69,91,2020-05-01 09:15:00
3,3102,2,0,0,2,6,21,2020-05-01 09:15:00
3,3103,1,0,0,1,26,22,2020-05-01 09:15:00
3,3151,1,0,0,1,6,8,2020-05-01 09:15:00
3,3153,3,10,7,3,33,41,2020-05-01 09:15:00
3,3154,1,4,1,1,16,18,2020-05-01 09:15:00
3,3155,2,4,2,2,9,14,2020-05-01 09:15:00
3,3157,1,1,1,1,3,19,2020-05-01 09:15:00
3,3158,1,3,3,1,6,10,2020-05-01 09:15:00
3,3159,6,14,6,6,74,123,2020-05-01 09:15:00
3,3241,16,36,24,16,166,345,2020-05-01 09:15:00
3,3251,3,1,1,3,14,4,2020-05-01 09:15:00
3,3252,4,3,2,4,19,54,2020-05-01 09:15:00
3,3254,5,5,2,4,42,68,2020-05-01 09:15:00
3,3255,1,0,0,1,8,6,2020-05-01 09:15:00
3,3256,1,0,0,1,22,12,2020-05-01 09:15:00
3,3257,1,1,0,1,8,19,2020-05-01 09:15:00
3,3351,3,2,0,1,23,24,2020-05-01 09:15:00
3,3352,2,0,0,2,9,9,2020-05-01 09:15:00
3,3353,2,4,2,2,23,14,2020-05-01 09:15:00
3,3354,1,0,0,1,20,5,2020-05-01 09:15:00
3,3355,1,0,0,1,17,19,2020-05-01 09:15:00
3,3356,2,1,1,2,7,10,2020-05-01 09:15:00
3,3357,3,2,2,2,18,24,2020-05-01 09:15:00
3,3358,3,1,1,3,18,24,2020-05-01 09:15:00
3,3359,3,0,0,2,16,25,2020-05-01 09:15:00
3,3360,2,2,1,2,22,6,2020-05-01 09:15:00
3,3361,2,0,0,2,9,8,2020-05-01 09:15:00
3,3401,1,2,2,1,12,17,2020-05-01 09:15:00
3,3402,1,1,0,1,11,10,2020-05-01 09:15:00
3,3403,4,6,5,3,117,79,2020-05-01 09:15:00
3,3404,4,8,5,4,98,59,2020-05-01 09:15:00
3,3405,1,0,0,1,3,28,2020-05-01 09:15:00
3,3451,2,4,3,2,14,14,2020-05-01 09:15:00
3,3452,2,1,1,2,18,20,2020-05-01 09:15:00
3,3453,2,0,0,2,13,29,2020-05-01 09:15:00
3,3454,5,7,5,5,40,49,2020-05-01 09:15:00
3,3455,2,0,0,2,12,6,2020-05-01 09:15:00
3,3456,1,4,4,1,15,15,2020-05-01 09:15:00
3,3457,3,0,0,2,17,26,2020-05-01 09:15:00
3,3458,1,1,1,1,6,9,2020-05-01 09:15:00
3,3459,7,0,0,6,70,64,2020-05-01 09:15:00
3,3460,3,0,0,3,53,17,2020-05-01 09:15:00
3,3461,1,0,0,1,1,16,2020-05-01 09:15:00
3,3462,1,0,0,1,8,5,2020-05-01 09:15:00
4,4011,10,10,6,9,88,113,2020-05-01 09:15:00
4,4012,2,5,3,2,12,46,2020-05-01 09:15:00
5,5111,12,21,15,11,81,234,2020-05-01 09:15:00
5,5112,12,11,8,9,79,164,2020-05-01 09:15:00
5,5113,14,31,25,13,95,241,2020-05-01 09:15:00
5,5114,5,14,10,4,31,78,2020-05-01 09:15:00
5,5116,5,8,7,4,41,78,2020-05-01 09:15:00
5,5117,2,6,5,2,21,29,2020-05-01 09:15:00
5,5119,5,2,0,4,31,35,2020-05-01 09:15:00
5,5120,1,3,2,1,25,11,2020-05-01 09:15:00
5,5122,3,7,6,3,35,58,2020-05-01 09:15:00
5,5124,5,10,8,5,109,106,2020-05-01 09:15:00
5,5154,5,7,5,5,30,46,2020-05-01 09:15:00
5,5158,6,4,4,6,61,34,2020-05-01 09:15:00
5,5162,7,10,9,6,54,69,2020-05-01 09:15:00
5,5166,4,8,6,4,22,39,2020-05-01 09:15:00
5,5170,9,8,4,8,64,101,2020-05-01 09:15:00
5,5314,15,18,13,11,66,225,2020-05-01 09:15:00
5,5315,27,42,28,18,93,342,2020-05-01 09:15:00
5,5316,4,1,1,2,42,46,2020-05-01 09:15:00
5,5334,8,30,28,7,153,166,2020-05-01 09:15:00
5,5358,6,6,3,5,21,53,2020-05-01 09:15:00
