bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,2,0,0,2,48,32,2020-07-09 12:15:00
1,1002,5,0,0,3,130,125,2020-07-09 12:15:00
1,1003,2,0,0,2,129,114,2020-07-09 12:15:00
1,1004,1,0,0,1,22,18,2020-07-09 12:15:00
1,1051,1,0,0,1,11,45,2020-07-09 12:15:00
1,1053,2,0,0,2,16,14,2020-07-09 12:15:00
1,1054,3,0,0,3,23,21,2020-07-09 12:15:00
1,1055,3,0,0,3,18,32,2020-07-09 12:15:00
1,1056,2,0,0,2,3,34,2020-07-09 12:15:00
1,1057,1,0,0,1,8,4,2020-07-09 12:15:00
1,1058,3,0,0,3,20,30,2020-07-09 12:15:00
1,1059,1,0,0,1,18,6,2020-07-09 12:15:00
1,1060,4,0,0,4,52,82,2020-07-09 12:15:00
1,1061,1,0,0,1,11,27,2020-07-09 12:15:00
1,1062,3,0,0,3,25,35,2020-07-09 12:15:00
2,2000,28,7,5,24,391,588,2020-07-09 12:15:00
3,3101,5,1,1,5,63,93,2020-07-09 12:15:00
3,3102,2,0,0,2,3,24,2020-07-09 12:15:00
3,3103,1,3,0,1,10,24,2020-07-09 12:15:00
3,3151,2,0,0,2,8,28,2020-07-09 12:15:00
3,3153,3,0,0,3,58,44,2020-07-09 12:15:00
3,3154,1,0,0,1,10,24,2020-07-09 12:15:00
3,3155,2,2,0,2,6,17,2020-07-09 12:15:00
3,3157,1,0,0,1,7,15,2020-07-09 12:15:00
3,3158,1,0,0,1,4,12,2020-07-09 12:15:00
3,3159,8,0,0,7,72,144,2020-07-09 12:15:00
3,3241,16,4,2,16,145,340,2020-07-09 12:15:00
3,3251,3,0,0,3,6,9,2020-07-09 12:15:00
3,3252,4,1,1,4,12,62,2020-07-09 12:15:00
3,3254,5,0,0,4,42,61,2020-07-09 12:15:00
3,3255,1,0,0,1,6,8,2020-07-09 12:15:00
3,3256,1,0,0,1,18,16,2020-07-09 12:15:00
3,3257,1,0,0,1,5,18,2020-07-09 12:15:00
3,3351,3,0,0,1,12,29,2020-07-09 12:15:00
3,3352,2,1,1,2,8,10,2020-07-09 12:15:00
3,3353,3,1,0,3,19,47,2020-07-09 12:15:00
3,3354,1,0,0,1,7,8,2020-07-09 12:15:00
3,3355,2,0,0,2,11,27,2020-07-09 12:15:00
3,3356,2,0,0,2,2,13,2020-07-09 12:15:00
3,3357,3,0,0,2,10,28,2020-07-09 12:15:00
3,3358,3,0,0,3,8,21,2020-07-09 12:15:00
3,3359,3,0,0,2,16,21,2020-07-09 12:15:00
3,3360,2,0,0,2,31,56,2020-07-09 12:15:00
3,3361,2,0,0,2,8,9,2020-07-09 12:15:00
3,3401,1,2,2,1,16,13,2020-07-09 12:15:00
3,3402,1,0,0,1,14,7,2020-07-09 12:15:00
3,3403,5,1,0,3,104,121,2020-07-09 12:15:00
3,3404,4,1,1,4,91,34,2020-07-09 12:15:00
3,3405,1,0,0,1,17,19,2020-07-09 12:15:00
3,3451,3,0,0,2,14,26,2020-07-09 12:15:00
3,3452,3,0,0,3,20,22,2020-07-09 12:15:00
3,3453,3,0,0,3,14,28,2020-07-09 12:15:00
3,3454,7,0,0,7,35,62,2020-07-09 12:15:00
3,3455,2,0,0,2,15,22,2020-07-09 12:15:00
3,3456,1,0,0,1,3,27,2020-07-09 12:15:00
3,3457,3,0,0,2,24,17,2020-07-09 12:15:00
3,3458,1,0,0,1,5,10,2020-07-09 12:15:00
3,3459,8,0,0,7,68,58,2020-07-09 12:15:00
3,3460,3,0,0,3,32,22,2020-07-09 12:15:00
