bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,1,1,2,11,38,2020-12-20 12:15:00
1,1002,5,5,3,3,46,120,2020-12-20 12:15:00
1,1003,2,8,5,2,33,105,2020-12-20 12:15:00
1,1004,1,2,1,1,3,22,2020-12-20 12:15:00
1,1051,1,0,0,1,5,39,2020-12-20 12:15:00
1,1053,2,2,2,2,4,13,2020-12-20 12:15:00
1,1054,3,0,0,3,10,15,2020-12-20 12:15:00
1,1055,3,1,0,3,18,33,2020-12-20 12:15:00
1,1056,2,2,0,2,4,29,2020-12-20 12:15:00
1,1057,1,0,0,1,7,5,2020-12-20 12:15:00
1,1058,5,0,0,3,18,24,2020-12-20 12:15:00
1,1059,1,1,0,1,12,12,2020-12-20 12:15:00
1,1060,4,1,0,4,26,65,2020-12-20 12:15:00
1,1061,3,3,0,1,28,21,2020-12-20 12:15:00
1,1062,3,3,3,3,10,24,2020-12-20 12:15:00
2,2000,34,105,59,24,122,520,2020-12-20 12:15:00
3,3101,7,7,2,5,28,103,2020-12-20 12:15:00
3,3102,2,4,2,2,10,19,2020-12-20 12:15:00
3,3103,1,2,1,1,12,24,2020-12-20 12:15:00
3,3151,2,5,2,2,4,16,2020-12-20 12:15:00
3,3153,3,1,0,3,8,30,2020-12-20 12:15:00
3,3154,1,2,0,1,4,11,2020-12-20 12:15:00
3,3155,2,1,1,2,10,11,2020-12-20 12:15:00
3,3157,1,4,1,1,6,16,2020-12-20 12:15:00
3,3158,1,1,0,1,5,11,2020-12-20 12:15:00
3,3159,8,12,6,7,40,126,2020-12-20 12:15:00
3,3241,19,41,24,16,51,349,2020-12-20 12:15:00
3,3251,3,3,3,3,5,12,2020-12-20 12:15:00
3,3252,6,4,1,4,16,53,2020-12-20 12:15:00
3,3254,7,11,7,4,13,55,2020-12-20 12:15:00
3,3255,1,0,0,1,0,11,2020-12-20 12:15:00
3,3256,1,2,0,1,3,21,2020-12-20 12:15:00
3,3257,1,4,0,1,3,19,2020-12-20 12:15:00
3,3351,2,3,2,1,1,27,2020-12-20 12:15:00
3,3352,2,1,0,2,10,5,2020-12-20 12:15:00
3,3353,3,1,0,3,11,25,2020-12-20 12:15:00
3,3354,1,0,0,1,0,7,2020-12-20 12:15:00
3,3355,4,2,1,2,16,28,2020-12-20 12:15:00
3,3356,3,0,0,2,4,8,2020-12-20 12:15:00
3,3357,3,2,1,2,10,24,2020-12-20 12:15:00
3,3358,2,2,1,2,5,15,2020-12-20 12:15:00
3,3359,3,1,0,2,5,26,2020-12-20 12:15:00
3,3360,2,0,0,2,14,64,2020-12-20 12:15:00
3,3361,2,0,0,2,4,11,2020-12-20 12:15:00
3,3401,1,7,6,1,0,17,2020-12-20 12:15:00
3,3402,1,1,0,1,5,15,2020-12-20 12:15:00
3,3403,5,14,8,3,11,96,2020-12-20 12:15:00
3,3404,5,22,10,4,34,104,2020-12-20 12:15:00
3,3405,2,4,3,1,17,23,2020-12-20 12:15:00
3,3451,3,2,2,2,7,26,2020-12-20 12:15:00
3,3452,4,5,0,3,12,28,2020-12-20 12:15:00
3,3453,3,6,3,3,6,24,2020-12-20 12:15:00
3,3454,10,5,2,6,34,61,2020-12-20 12:15:00
3,3455,2,1,0,2,8,25,2020-12-20 12:15:00
3,3456,1,3,0,1,10,18,2020-12-20 12:15:00
3,3457,6,3,1,4,11,18,2020-12-20 12:15:00
3,3458,1,2,0,1,4,6,2020-12-20 12:15:00
3,3459,7,7,1,6,45,71,2020-12-20 12:15:00
3,3460,5,3,1,3,15,21,2020-12-20 12:15:00
3,3461,2,0,0,2,6,11,2020-12-20 12:15:00
3,3462,1,0,0,1,5,3,2020-12-20 12:15:00
4,4011,10,30,17,9,24,131,2020-12-20 12:15:00
4,4012,4,7,3,3,15,42,2020-12-20 12:15:00
5,5111,14,34,16,11,34,256,2020-12-20 12:15:00
5,5112,16,41,21,9,36,172,2020-12-20 12:15:00
5,5113,16,62,46,13,53,319,2020-12-20 12:15:00
5,5114,7,16,10,4,11,86,2020-12-20 12:15:00
5,5116,6,30,15,4,10,84,2020-12-20 12:15:00
5,5117,2,12,2,2,3,31,2020-12-20 12:15:00
5,5119,7,23,7,4,15,58,2020-12-20 12:15:00
5,5120,1,5,3,1,2,28,2020-12-20 12:15:00
5,5122,4,20,15,3,21,65,2020-12-20 12:15:00
5,5124,7,29,18,5,44,109,2020-12-20 12:15:00
5,5154,8,7,5,5,20,49,2020-12-20 12:15:00
5,5158,7,18,6,6,13,53,2020-12-20 12:15:00
5,5162,7,13,6,5,22,83,2020-12-20 12:15:00
5,5166,4,9,0,4,2,32,2020-12-20 12:15:00
5,5170,11,22,12,8,28,101,2020-12-20 12:15:00
5,5314,18,39,28,11,36,257,2020-12-20 12:15:00
5,5315,31,82,52,18,24,421,2020-12-20 12:15:00
5,5316,5,9,5,2,10,78,2020-12-20 12:15:00
5,5334,13,49,37,7,23,282,2020-12-20 12:15:00
5,5358,7,15,9,5,10,55,2020-12-20 12:15:00
5,5362,7,16,9,7,14,56,2020-12-20 12:15:00
5,5366,3,6,2,3,0,27,2020-12-20 12:15:00
5,5370,3,12,9,3,4,32,2020-12-20 12:15:00
