bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,0,0,2,17,38,2020-08-29 12:15:00
1,1002,5,1,0,3,117,112,2020-08-29 12:15:00
1,1003,2,0,0,2,101,116,2020-08-29 12:15:00
1,1004,1,0,0,1,8,17,2020-08-29 12:15:00
1,1051,1,0,0,1,12,42,2020-08-29 12:15:00
1,1053,2,0,0,2,8,16,2020-08-29 12:15:00
1,1054,3,0,0,3,18,21,2020-08-29 12:15:00
1,1055,3,0,0,3,12,40,2020-08-29 12:15:00
1,1056,2,1,0,2,20,20,2020-08-29 12:15:00
1,1057,1,0,0,1,4,8,2020-08-29 12:15:00
1,1058,5,0,0,3,15,39,2020-08-29 12:15:00
1,1059,1,0,0,1,9,15,2020-08-29 12:15:00
1,1060,4,0,0,4,49,67,2020-08-29 12:15:00
1,1061,3,0,0,1,16,33,2020-08-29 12:15:00
1,1062,3,0,0,3,23,32,2020-08-29 12:15:00
2,2000,34,8,6,24,280,594,2020-08-29 12:15:00
3,3101,7,0,0,5,57,93,2020-08-29 12:15:00
3,3102,2,0,0,2,20,9,2020-08-29 12:15:00
3,3103,1,0,0,1,8,26,2020-08-29 12:15:00
3,3151,2,1,0,2,11,25,2020-08-29 12:15:00
3,3153,3,0,0,3,35,47,2020-08-29 12:15:00
3,3154,1,0,0,1,16,18,2020-08-29 12:15:00
3,3155,2,0,0,2,6,17,2020-08-29 12:15:00
3,3157,1,0,0,1,7,15,2020-08-29 12:15:00
3,3158,1,0,0,1,6,10,2020-08-29 12:15:00
3,3159,8,0,0,7,57,135,2020-08-29 12:15:00
3,3241,19,6,4,16,136,356,2020-08-29 12:15:00
3,3251,3,0,0,3,7,10,2020-08-29 12:15:00
3,3252,6,1,0,4,22,53,2020-08-29 12:15:00
3,3254,7,1,1,4,33,59,2020-08-29 12:15:00
3,3255,1,0,0,1,4,10,2020-08-29 12:15:00
3,3256,1,0,0,1,8,12,2020-08-29 12:15:00
3,3257,1,0,0,1,6,17,2020-08-29 12:15:00
3,3351,3,1,0,1,9,32,2020-08-29 12:15:00
3,3352,2,0,0,2,22,4,2020-08-29 12:15:00
3,3353,3,1,0,3,7,33,2020-08-29 12:15:00
3,3354,1,0,0,1,10,5,2020-08-29 12:15:00
3,3355,4,0,0,2,23,36,2020-08-29 12:15:00
3,3356,3,0,0,2,8,7,2020-08-29 12:15:00
3,3357,3,0,0,2,14,24,2020-08-29 12:15:00
3,3358,3,0,0,3,10,25,2020-08-29 12:15:00
3,3359,3,0,0,2,6,27,2020-08-29 12:15:00
3,3360,2,0,0,2,19,63,2020-08-29 12:15:00
3,3361,2,0,0,2,3,12,2020-08-29 12:15:00
