bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,0,0,2,24,31,2020-10-16 12:15:00
1,1002,5,0,0,3,121,108,2020-10-16 12:15:00
1,1003,2,2,1,2,110,107,2020-10-16 12:15:00
1,1004,1,2,2,1,3,22,2020-10-16 12:15:00
1,1051,1,0,0,1,13,41,2020-10-16 12:15:00
1,1053,2,0,0,2,11,13,2020-10-16 12:15:00
1,1054,3,0,0,3,15,24,2020-10-16 12:15:00
1,1055,3,0,0,3,11,40,2020-10-16 12:15:00
1,1056,2,1,0,2,11,29,2020-10-16 12:15:00
1,1057,1,0,0,1,5,7,2020-10-16 12:15:00
1,1058,5,0,0,3,15,27,2020-10-16 12:15:00
1,1059,1,0,0,1,8,16,2020-10-16 12:15:00
1,1060,4,0,0,4,33,83,2020-10-16 12:15:00
1,1061,3,0,0,1,16,33,2020-10-16 12:15:00
1,1062,3,1,1,3,23,32,2020-10-16 12:15:00
2,2000,34,21,11,24,231,600,2020-10-16 12:15:00
3,3101,7,1,1,5,50,100,2020-10-16 12:15:00
3,3102,2,0,0,2,9,20,2020-10-16 12:15:00
3,3103,1,1,0,1,6,30,2020-10-16 12:15:00
3,3151,2,0,0,2,7,29,2020-10-16 12:15:00
3,3153,1,0,0,1,32,20,2020-10-16 12:15:00
3,3154,1,1,0,1,12,22,2020-10-16 12:15:00
3,3155,2,1,0,2,7,16,2020-10-16 12:15:00
3,3157,1,2,2,1,8,14,2020-10-16 12:15:00
3,3158,1,0,0,1,8,8,2020-10-16 12:15:00
3,3159,8,3,1,7,48,150,2020-10-16 12:15:00
3,3241,19,12,6,16,190,360,2020-10-16 12:15:00
3,3251,3,1,1,3,11,6,2020-10-16 12:15:00
3,3252,6,0,0,4,15,57,2020-10-16 12:15:00
3,3254,7,0,0,4,35,57,2020-10-16 12:15:00
3,3255,1,0,0,1,7,7,2020-10-16 12:15:00
3,3256,1,0,0,1,7,17,2020-10-16 12:15:00
3,3257,1,0,0,1,7,16,2020-10-16 12:15:00
3,3351,3,1,1,1,10,31,2020-10-16 12:15:00
3,3352,2,0,0,2,15,11,2020-10-16 12:15:00
3,3353,3,1,0,3,9,30,2020-10-16 12:15:00
3,3354,1,0,0,1,0,7,2020-10-16 12:15:00
3,3355,4,0,0,2,15,39,2020-10-16 12:15:00
3,3356,3,1,0,2,8,9,2020-10-16 12:15:00
3,3357,3,0,0,2,13,25,2020-10-16 12:15:00
3,3358,2,0,0,2,11,12,2020-10-16 12:15:00
3,3359,3,0,0,2,10,23,2020-10-16 12:15:00
3,3360,2,0,0,2,20,62,2020-10-16 12:15:00
3,3361,2,0,0,2,7,8,2020-10-16 12:15:00
3,3401,1,2,2,1,2,17,2020-10-16 12:15:00
3,3402,1,0,0,1,2,14,2020-10-16 12:15:00
3,3403,5,6,3,3,58,85,2020-10-16 12:15:00
3,3404,5,0,0,4,28,93,2020-10-16 12:15:00
3,3405,2,0,0,1,13,27,2020-10-16 12:15:00
3,3451,3,0,0,2,7,26,2020-10-16 12:15:00
3,3452,4,1,0,3,10,29,2020-10-16 12:15:00
3,3453,3,2,1,3,20,14,2020-10-16 12:15:00
3,3454,10,3,1,6,43,56,2020-10-16 12:15:00
3,3455,2,1,1,2,13,24,2020-10-16 12:15:00
3,3456,1,0,0,1,6,24,2020-10-16 12:15:00
3,3457,4,1,0,2,24,19,2020-10-16 12:15:00
3,3458,1,0,0,1,1,9,2020-10-16 12:15:00
3,3459,7,1,1,6,49,75,2020-10-16 12:15:00
3,3460,5,2,1,3,9,27,2020-10-16 12:15:00
3,3461,2,0,0,2,5,12,2020-10-16 12:15:00
3,3462,1,0,0,1,5,3,2020-10-16 12:15:00
4,4011,10,8,1,9,30,143,2020-10-16 12:15:00
4,4012,3,1,0,3,13,25,2020-10-16 12:15:00
5,5111,13,8,3,11,89,242,2020-10-16 12:15:00
5,5112,16,6,2,9,84,184,2020-10-16 12:15:00
5,5113,16,17,9,13,83,327,2020-10-16 12:15:00
5,5114,7,2,1,4,20,79,2020-10-16 12:15:00
5,5116,6,4,3,4,27,72,2020-10-16 12:15:00
5,5117,2,0,0,2,34,21,2020-10-16 12:15:00
5,5119,7,0,0,4,43,55,2020-10-16 12:15:00
5,5120,1,3,1,1,16,20,2020-10-16 12:15:00
5,5122,4,3,1,3,23,63,2020-10-16 12:15:00
5,5124,7,4,3,5,33,129,2020-10-16 12:15:00
5,5154,8,1,1,5,34,39,2020-10-16 12:15:00
5,5158,7,5,3,6,17,49,2020-10-16 12:15:00
5,5162,8,3,3,6,38,78,2020-10-16 12:15:00
5,5166,4,0,0,4,16,27,2020-10-16 12:15:00
5,5170,11,7,1,8,112,95,2020-10-16 12:15:00
5,5314,18,11,5,11,55,231,2020-10-16 12:15:00
5,5315,30,32,15,17,78,405,2020-10-16 12:15:00
5,5316,5,2,1,2,27,81,2020-10-16 12:15:00
5,5334,13,9,7,7,23,268,2020-10-16 12:15:00
5,5358,7,3,1,5,30,46,2020-10-16 12:15:00
5,5362,7,2,1,7,32,42,2020-10-16 12:15:00
5,5366,3,0,0,3,3,26,2020-10-16 12:15:00
5,5370,3,3,2,3,13,23,2020-10-16 12:15:00
5,5374,7,1,0,7,32,85,2020-10-16 12:15:00
5,5378,4,3,1,4,25,27,2020-10-16 12:15:00
5,5382,7,4,4,6,14,72,2020-10-16 12:15:00
5,5512,2,1,0,2,36,31,2020-10-16 12:15:00
5,5513,7,6,2,4,29,78,2020-10-16 12:15:00
