bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,0,0,2,18,37,2020-09-13 12:15:00
1,1002,5,0,0,3,107,122,2020-09-13 12:15:00
1,1003,2,0,0,2,109,108,2020-09-13 12:15:00
1,1004,1,0,0,1,6,19,2020-09-13 12:15:00
1,1051,1,0,0,1,13,41,2020-09-13 12:15:00
1,1053,2,0,0,2,14,10,2020-09-13 12:15:00
1,1054,3,0,0,3,18,21,2020-09-13 12:15:00
1,1055,3,0,0,3,16,36,2020-09-13 12:15:00
1,1056,2,1,1,2,15,25,2020-09-13 12:15:00
1,1057,1,0,0,1,7,5,2020-09-13 12:15:00
1,1058,5,0,0,3,16,38,2020-09-13 12:15:00
1,1059,1,0,0,1,10,14,2020-09-13 12:15:00
1,1060,4,0,0,4,44,72,2020-09-13 12:15:00
1,1061,3,0,0,1,23,26,2020-09-13 12:15:00
1,1062,3,0,0,3,21,34,2020-09-13 12:15:00
2,2000,33,10,5,23,287,563,2020-09-13 12:15:00
3,3101,7,0,0,5,41,109,2020-09-13 12:15:00
3,3102,2,0,0,2,14,15,2020-09-13 12:15:00
3,3103,1,0,0,1,4,30,2020-09-13 12:15:00
3,3151,2,0,0,2,5,25,2020-09-13 12:15:00
3,3153,3,0,0,3,44,38,2020-09-13 12:15:00
3,3154,1,0,0,1,16,18,2020-09-13 12:15:00
3,3155,2,0,0,2,11,12,2020-09-13 12:15:00
3,3157,1,0,0,1,13,9,2020-09-13 12:15:00
3,3158,1,0,0,1,6,10,2020-09-13 12:15:00
3,3159,8,0,0,7,57,140,2020-09-13 12:15:00
3,3241,19,7,6,16,128,350,2020-09-13 12:15:00
3,3251,3,0,0,3,9,8,2020-09-13 12:15:00
3,3252,6,1,0,4,20,55,2020-09-13 12:15:00
3,3254,7,1,1,4,51,41,2020-09-13 12:15:00
3,3255,1,0,0,1,2,9,2020-09-13 12:15:00
3,3256,1,0,0,1,11,15,2020-09-13 12:15:00
3,3257,1,0,0,1,2,21,2020-09-13 12:15:00
3,3351,3,2,2,1,9,32,2020-09-13 12:15:00
3,3352,2,0,0,2,17,9,2020-09-13 12:15:00
