bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,1,1,2,9,36,2020-12-05 12:15:00
1,1002,5,7,7,3,46,119,2020-12-05 12:15:00
1,1003,2,4,1,2,31,107,2020-12-05 12:15:00
1,1004,1,0,0,1,5,20,2020-12-05 12:15:00
1,1051,1,0,0,1,4,40,2020-12-05 12:15:00
1,1053,2,3,2,2,11,9,2020-12-05 12:15:00
1,1054,3,0,0,3,10,19,2020-12-05 12:15:00
1,1055,3,0,0,3,19,32,2020-12-05 12:15:00
1,1056,2,5,3,2,18,24,2020-12-05 12:15:00
1,1057,1,1,0,1,6,6,2020-12-05 12:15:00
1,1058,5,0,0,3,18,24,2020-12-05 12:15:00
1,1059,1,0,0,1,6,18,2020-12-05 12:15:00
1,1060,4,1,1,4,46,67,2020-12-05 12:15:00
1,1061,3,4,0,1,12,37,2020-12-05 12:15:00
1,1062,3,0,0,3,12,37,2020-12-05 12:15:00
2,2000,34,95,58,24,109,592,2020-12-05 12:15:00
3,3101,7,4,4,5,35,104,2020-12-05 12:15:00
3,3102,2,3,3,2,16,13,2020-12-05 12:15:00
3,3103,1,3,1,1,9,27,2020-12-05 12:15:00
3,3151,2,2,0,2,5,18,2020-12-05 12:15:00
3,3153,3,1,0,3,8,30,2020-12-05 12:15:00
3,3154,1,0,0,1,11,15,2020-12-05 12:15:00
3,3155,2,1,1,2,8,13,2020-12-05 12:15:00
3,3157,1,3,0,1,10,12,2020-12-05 12:15:00
3,3158,1,3,3,1,2,14,2020-12-05 12:15:00
3,3159,8,8,3,7,37,144,2020-12-05 12:15:00
3,3241,19,35,20,16,63,368,2020-12-05 12:15:00
3,3251,3,4,3,3,2,17,2020-12-05 12:15:00
3,3252,6,4,2,4,13,58,2020-12-05 12:15:00
3,3254,7,7,2,4,18,54,2020-12-05 12:15:00
3,3255,1,0,0,1,0,11,2020-12-05 12:15:00
3,3256,1,1,1,1,3,21,2020-12-05 12:15:00
3,3257,1,4,0,1,1,21,2020-12-05 12:15:00
3,3351,2,3,2,1,5,23,2020-12-05 12:15:00
3,3352,2,6,3,2,3,12,2020-12-05 12:15:00
3,3353,3,4,1,3,6,30,2020-12-05 12:15:00
3,3354,1,0,0,1,0,6,2020-12-05 12:15:00
3,3355,4,4,3,2,6,38,2020-12-05 12:15:00
3,3356,3,2,1,2,3,10,2020-12-05 12:15:00
3,3357,3,1,1,2,11,23,2020-12-05 12:15:00
3,3358,2,0,0,2,7,13,2020-12-05 12:15:00
3,3359,3,0,0,2,5,26,2020-12-05 12:15:00
3,3360,2,2,1,2,24,54,2020-12-05 12:15:00
3,3361,2,2,1,2,2,13,2020-12-05 12:15:00
3,3401,1,6,4,1,1,14,2020-12-05 12:15:00
3,3402,1,0,0,1,10,10,2020-12-05 12:15:00
3,3403,5,11,7,3,13,94,2020-12-05 12:15:00
3,3404,5,17,10,4,26,106,2020-12-05 12:15:00
3,3405,2,5,2,1,13,27,2020-12-05 12:15:00
3,3451,3,2,2,2,5,28,2020-12-05 12:15:00
3,3452,4,1,1,3,14,25,2020-12-05 12:15:00
3,3453,3,4,3,3,4,26,2020-12-05 12:15:00
3,3454,10,7,3,6,35,60,2020-12-05 12:15:00
3,3455,2,1,1,2,13,24,2020-12-05 12:15:00
3,3456,1,5,1,1,3,25,2020-12-05 12:15:00
3,3457,6,2,2,4,16,17,2020-12-05 12:15:00
3,3458,1,2,2,1,1,7,2020-12-05 12:15:00
3,3459,7,4,4,6,44,72,2020-12-05 12:15:00
3,3460,5,3,0,3,12,24,2020-12-05 12:15:00
3,3461,2,0,0,2,9,8,2020-12-05 12:15:00
3,3462,1,2,2,1,0,8,2020-12-05 12:15:00
4,4011,10,25,21,9,16,126,2020-12-05 12:15:00
4,4012,4,7,6,3,12,46,2020-12-05 12:15:00
5,5111,14,47,30,11,37,259,2020-12-05 12:15:00
5,5112,16,34,21,9,25,197,2020-12-05 12:15:00
5,5113,16,59,44,13,70,312,2020-12-05 12:15:00
5,5114,7,12,7,4,23,82,2020-12-05 12:15:00
5,5116,6,18,9,4,15,80,2020-12-05 12:15:00
5,5117,2,6,1,2,4,24,2020-12-05 12:15:00
5,5119,7,12,5,4,37,61,2020-12-05 12:15:00
5,5120,1,7,2,1,6,24,2020-12-05 12:15:00
5,5122,4,20,16,3,22,64,2020-12-05 12:15:00
5,5124,7,20,14,5,27,123,2020-12-05 12:15:00
5,5154,8,5,4,5,17,55,2020-12-05 12:15:00
5,5158,7,7,6,6,20,42,2020-12-05 12:15:00
5,5162,7,10,6,5,27,80,2020-12-05 12:15:00
5,5166,4,7,2,4,11,26,2020-12-05 12:15:00
5,5170,11,31,28,8,34,102,2020-12-05 12:15:00
5,5314,18,38,30,11,31,247,2020-12-05 12:15:00
5,5315,31,94,52,18,23,420,2020-12-05 12:15:00
5,5316,5,12,5,2,14,75,2020-12-05 12:15:00
5,5334,13,36,26,7,18,277,2020-12-05 12:15:00
5,5358,7,14,7,5,6,59,2020-12-05 12:15:00
5,5362,7,14,7,7,12,58,2020-12-05 12:15:00
5,5366,3,4,3,3,4,24,2020-12-05 12:15:00
5,5370,3,7,6,3,6,30,2020-12-05 12:15:00
5,5374,6,9,3,6,15,71,2020-12-05 12:15:00
5,5378,4,12,4,4,7,38,2020-12-05 12:15:00
5,5382,7,16,5,6,15,73,2020-12-05 12:15:00
5,5512,2,6,3,2,10,30,2020-12-05 12:15:00
5,5513,7,22,14,4,28,74,2020-12-05 12:15:00
5,5515,9,21,13,7,36,225,2020-12-05 12:15:00
5,5554,6,9,4,5,19,54,2020-12-05 12:15:00
5,5558,5,2,0,3,9,27,2020-12-05 12:15:00
5,5562,15,29,17,14,54,183,2020-12-05 12:15:00
5,5566,7,5,3,5,27,68,2020-12-05 12:15:00
5,5570,6,12,7,5,8,40,2020-12-05 12:15:00
5,5711,6,34,25,4,16,132,2020-12-05 12:15:00
5,5754,3,7,4,3,19,31,2020-12-05 12:15:00
5,5758,5,8,5,3,7,61,2020-12-05 12:15:00
5,5762,6,3,2,5,6,30,2020-12-05 12:15:00
5,5766,2,13,7,2,5,45,2020-12-05 12:15:00
5,5770,8,28,10,6,18,211,2020-12-05 12:15:00
5,5774,7,15,10,5,22,82,2020-12-05 12:15:00
5,5911,8,21,20,6,31,168,2020-12-05 12:15:00
5,5913,9,33,27,9,33,262,2020-12-05 12:15:00
5,5914,7,20,8,5,17,68,2020-12-05 12:15:00
5,5915,7,9,7,5,23,67,2020-12-05 12:15:00
5,5916,4,16,12,4,9,57,2020-12-05 12:15:00
5,5954,7,4,1,6,24,99,2020-12-05 12:15:00
5,5958,10,12,3,9,31,99,2020-12-05 12:15:00
5,5962,10,19,17,8,38,84,2020-12-05 12:15:00
5,5966,2,2,1,2,15,11,2020-12-05 12:15:00
5,5970,8,6,5,7,31,109,2020-12-05 12:15:00
5,5974,9,10,7,7,23,59,2020-12-05 12:15:00
5,5978,8,24,16,8,16,91,2020-12-05 12:15:00
