bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,0,0,2,26,29,2020-10-27 12:15:00
1,1002,5,1,1,3,122,107,2020-10-27 12:15:00
1,1003,2,2,2,2,106,111,2020-10-27 12:15:00
1,1004,1,0,0,1,4,21,2020-10-27 12:15:00
1,1051,1,1,0,1,14,40,2020-10-27 12:15:00
1,1053,2,0,0,2,8,12,2020-10-27 12:15:00
1,1054,3,0,0,3,14,25,2020-10-27 12:15:00
1,1055,3,1,0,3,18,33,2020-10-27 12:15:00
1,1056,2,2,0,2,4,33,2020-10-27 12:15:00
1,1057,1,1,1,1,3,9,2020-10-27 12:15:00
1,1058,5,0,0,3,16,26,2020-10-27 12:15:00
1,1059,1,1,1,1,5,19,2020-10-27 12:15:00
1,1060,4,1,0,4,38,82,2020-10-27 12:15:00
1,1061,3,1,0,1,17,32,2020-10-27 12:15:00
1,1062,3,2,2,3,17,32,2020-10-27 12:15:00
2,2000,34,34,15,24,251,579,2020-10-27 12:15:00
3,3101,7,1,0,5,49,101,2020-10-27 12:15:00
3,3102,2,1,0,2,9,20,2020-10-27 12:15:00
3,3103,1,1,0,1,7,29,2020-10-27 12:15:00
3,3151,2,0,0,2,4,32,2020-10-27 12:15:00
3,3153,1,0,0,1,36,16,2020-10-27 12:15:00
3,3154,1,3,0,1,14,20,2020-10-27 12:15:00
3,3155,2,0,0,2,11,12,2020-10-27 12:15:00
3,3157,1,2,1,1,4,18,2020-10-27 12:15:00
3,3158,1,0,0,1,5,11,2020-10-27 12:15:00
3,3159,8,4,2,7,43,144,2020-10-27 12:15:00
3,3241,19,14,10,16,200,349,2020-10-27 12:15:00
3,3251,3,1,1,3,6,11,2020-10-27 12:15:00
3,3252,6,0,0,4,12,60,2020-10-27 12:15:00
3,3254,7,4,0,4,26,54,2020-10-27 12:15:00
3,3255,1,0,0,1,7,7,2020-10-27 12:15:00
3,3256,1,0,0,1,6,18,2020-10-27 12:15:00
3,3257,1,2,2,1,5,18,2020-10-27 12:15:00
3,3351,3,3,2,1,15,26,2020-10-27 12:15:00
3,3352,2,4,1,2,3,12,2020-10-27 12:15:00
3,3353,3,0,0,3,12,24,2020-10-27 12:15:00
3,3354,1,0,0,1,0,7,2020-10-27 12:15:00
3,3355,4,1,0,2,14,34,2020-10-27 12:15:00
3,3356,3,1,1,2,2,11,2020-10-27 12:15:00
3,3357,3,1,1,2,8,30,2020-10-27 12:15:00
3,3358,2,2,0,2,7,17,2020-10-27 12:15:00
3,3359,3,1,0,2,9,24,2020-10-27 12:15:00
3,3360,2,0,0,2,17,65,2020-10-27 12:15:00
3,3361,2,0,0,2,2,13,2020-10-27 12:15:00
3,3401,1,6,4,1,1,18,2020-10-27 12:15:00
3,3402,1,0,0,1,8,12,2020-10-27 12:15:00
3,3403,5,10,6,3,10,98,2020-10-27 12:15:00
3,3404,5,2,0,4,26,98,2020-10-27 12:15:00
3,3405,2,0,0,1,11,29,2020-10-27 12:15:00
3,3451,3,0,0,2,7,26,2020-10-27 12:15:00
3,3452,4,3,0,3,8,31,2020-10-27 12:15:00
3,3453,3,9,5,3,7,24,2020-10-27 12:15:00
3,3454,10,9,2,6,29,63,2020-10-27 12:15:00
3,3455,2,0,0,2,9,28,2020-10-27 12:15:00
3,3456,1,8,2,1,6,26,2020-10-27 12:15:00
3,3457,6,0,0,4,25,18,2020-10-27 12:15:00
3,3458,1,0,0,1,1,9,2020-10-27 12:15:00
3,3459,7,1,1,6,50,67,2020-10-27 12:15:00
3,3460,5,4,3,3,12,24,2020-10-27 12:15:00
3,3461,2,0,0,2,4,13,2020-10-27 12:15:00
3,3462,1,0,0,1,4,4,2020-10-27 12:15:00
4,4011,10,18,7,9,19,144,2020-10-27 12:15:00
4,4012,4,4,3,3,23,46,2020-10-27 12:15:00
5,5111,13,19,12,11,74,253,2020-10-27 12:15:00
5,5112,16,22,12,9,52,198,2020-10-27 12:15:00
5,5113,16,23,11,13,112,320,2020-10-27 12:15:00
5,5114,7,7,4,4,21,79,2020-10-27 12:15:00
5,5116,6,9,7,4,16,79,2020-10-27 12:15:00
5,5117,2,3,0,2,10,24,2020-10-27 12:15:00
5,5119,6,5,1,4,33,54,2020-10-27 12:15:00
5,5120,1,8,5,1,2,24,2020-10-27 12:15:00
5,5122,4,5,3,3,26,60,2020-10-27 12:15:00
5,5124,7,5,5,5,34,114,2020-10-27 12:15:00
