bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,1,1,2,11,39,2020-12-08 12:15:00
1,1002,5,8,8,3,54,112,2020-12-08 12:15:00
1,1003,2,4,1,2,25,113,2020-12-08 12:15:00
1,1004,1,0,0,1,4,21,2020-12-08 12:15:00
1,1051,1,0,0,1,3,41,2020-12-08 12:15:00
1,1053,2,3,1,2,6,14,2020-12-08 12:15:00
1,1054,3,0,0,3,11,18,2020-12-08 12:15:00
1,1055,3,0,0,3,15,36,2020-12-08 12:15:00
1,1056,2,5,2,2,4,29,2020-12-08 12:15:00
1,1057,1,1,0,1,6,6,2020-12-08 12:15:00
1,1058,5,0,0,3,16,26,2020-12-08 12:15:00
1,1059,1,0,0,1,9,15,2020-12-08 12:15:00
1,1060,4,2,2,4,42,75,2020-12-08 12:15:00
1,1061,3,3,0,1,17,32,2020-12-08 12:15:00
1,1062,3,1,1,3,16,33,2020-12-08 12:15:00
2,2000,34,96,63,24,118,565,2020-12-08 12:15:00
3,3101,7,5,3,5,43,96,2020-12-08 12:15:00
3,3102,2,3,3,2,17,12,2020-12-08 12:15:00
3,3103,1,3,1,1,13,23,2020-12-08 12:15:00
3,3151,2,5,1,2,6,14,2020-12-08 12:15:00
3,3153,3,1,0,3,8,30,2020-12-08 12:15:00
3,3154,1,0,0,1,12,14,2020-12-08 12:15:00
3,3155,2,0,0,2,7,14,2020-12-08 12:15:00
3,3157,1,5,1,1,0,16,2020-12-08 12:15:00
3,3158,1,3,3,1,3,13,2020-12-08 12:15:00
3,3159,8,9,4,7,36,152,2020-12-08 12:15:00
3,3241,19,36,20,16,58,368,2020-12-08 12:15:00
3,3251,3,4,3,3,9,10,2020-12-08 12:15:00
3,3252,6,6,3,4,11,58,2020-12-08 12:15:00
3,3254,7,6,3,4,13,60,2020-12-08 12:15:00
3,3255,1,0,0,1,5,9,2020-12-08 12:15:00
3,3256,1,1,1,1,4,20,2020-12-08 12:15:00
3,3257,1,4,1,1,0,22,2020-12-08 12:15:00
3,3351,2,2,2,1,5,24,2020-12-08 12:15:00
3,3352,2,4,3,2,2,13,2020-12-08 12:15:00
3,3353,3,2,1,3,5,31,2020-12-08 12:15:00
3,3354,1,0,0,1,0,8,2020-12-08 12:15:00
3,3355,4,3,1,2,14,30,2020-12-08 12:15:00
3,3356,3,1,1,2,2,11,2020-12-08 12:15:00
3,3357,3,2,2,2,4,30,2020-12-08 12:15:00
3,3358,2,0,0,2,7,13,2020-12-08 12:15:00
3,3359,3,0,0,2,6,25,2020-12-08 12:15:00
3,3360,2,2,1,2,17,61,2020-12-08 12:15:00
3,3361,2,2,1,2,3,12,2020-12-08 12:15:00
3,3401,1,6,5,1,0,18,2020-12-08 12:15:00
3,3402,1,0,0,1,13,7,2020-12-08 12:15:00
3,3403,5,8,5,3,14,97,2020-12-08 12:15:00
3,3404,5,16,10,4,23,109,2020-12-08 12:15:00
3,3405,3,6,2,1,20,25,2020-12-08 12:15:00
3,3451,3,4,2,2,7,26,2020-12-08 12:15:00
3,3452,4,1,0,3,15,24,2020-12-08 12:15:00
3,3453,3,5,4,3,3,27,2020-12-08 12:15:00
3,3454,10,6,4,6,34,61,2020-12-08 12:15:00
3,3455,2,2,1,2,15,22,2020-12-08 12:15:00
3,3456,1,4,1,1,3,25,2020-12-08 12:15:00
3,3457,6,2,1,4,15,17,2020-12-08 12:15:00
3,3458,1,2,2,1,1,6,2020-12-08 12:15:00
3,3459,7,4,2,6,46,74,2020-12-08 12:15:00
3,3460,5,1,0,3,9,27,2020-12-08 12:15:00
3,3461,2,0,0,2,5,12,2020-12-08 12:15:00
3,3462,1,2,2,1,1,7,2020-12-08 12:15:00
4,4011,10,25,19,9,26,141,2020-12-08 12:15:00
4,4012,4,7,6,3,11,48,2020-12-08 12:15:00
5,5111,14,50,36,11,40,261,2020-12-08 12:15:00
5,5112,16,40,25,9,21,197,2020-12-08 12:15:00
5,5113,16,57,48,13,60,323,2020-12-08 12:15:00
5,5114,7,13,12,4,15,80,2020-12-08 12:15:00
5,5116,6,20,10,4,7,88,2020-12-08 12:15:00
5,5117,2,4,0,2,9,21,2020-12-08 12:15:00
5,5119,7,13,8,4,42,60,2020-12-08 12:15:00
5,5120,1,5,3,1,7,23,2020-12-08 12:15:00
5,5122,4,21,15,3,19,67,2020-12-08 12:15:00
5,5124,7,23,17,5,22,128,2020-12-08 12:15:00
5,5154,8,6,4,5,20,54,2020-12-08 12:15:00
5,5158,7,14,8,6,18,45,2020-12-08 12:15:00
5,5162,7,8,3,5,21,86,2020-12-08 12:15:00
5,5166,4,5,3,4,11,26,2020-12-08 12:15:00
5,5170,11,29,24,8,26,108,2020-12-08 12:15:00
5,5314,18,40,31,11,30,250,2020-12-08 12:15:00
5,5315,31,92,55,18,40,409,2020-12-08 12:15:00
5,5316,5,8,4,2,12,76,2020-12-08 12:15:00
5,5334,13,36,24,7,22,274,2020-12-08 12:15:00
5,5358,7,13,7,5,10,57,2020-12-08 12:15:00
5,5362,7,15,8,7,10,60,2020-12-08 12:15:00
5,5366,3,4,4,3,2,26,2020-12-08 12:15:00
5,5370,3,9,8,3,7,29,2020-12-08 12:15:00
5,5374,6,9,5,6,16,72,2020-12-08 12:15:00
5,5378,4,10,4,4,4,41,2020-12-08 12:15:00
