Unnamed: 0,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
368,15,15089,4,0,0,4,28.0,47.0,2020-04-29 09:15:00
369,15,15090,2,0,0,2,24.0,24.0,2020-04-29 09:15:00
370,15,15091,2,2,1,2,42.0,21.0,2020-04-29 09:15:00
371,16,16051,2,2,2,2,31.0,65.0,2020-04-29 09:15:00
372,16,16052,1,5,3,1,7.0,39.0,2020-04-29 09:15:00
373,16,16053,2,5,3,1,19.0,98.0,2020-04-29 09:15:00
374,16,16054,1,1,1,1,22.0,12.0,2020-04-29 09:15:00
375,16,16055,1,0,0,1,8.0,8.0,2020-04-29 09:15:00
376,16,16056,1,2,2,1,21.0,23.0,2020-04-29 09:15:00
377,16,16061,3,3,3,3,11.0,19.0,2020-04-29 09:15:00
378,16,16062,3,9,9,3,41.0,43.0,2020-04-29 09:15:00
379,16,16063,3,1,1,3,17.0,70.0,2020-04-29 09:15:00
380,16,16064,3,7,3,3,71.0,33.0,2020-04-29 09:15:00
381,16,16065,1,0,0,1,12.0,3.0,2020-04-29 09:15:00
382,16,16066,2,5,2,2,14.0,34.0,2020-04-29 09:15:00
383,16,16067,2,0,0,2,33.0,17.0,2020-04-29 09:15:00
384,16,16068,1,0,0,1,9.0,5.0,2020-04-29 09:15:00
385,16,16069,1,0,0,1,6.0,2.0,2020-04-29 09:15:00
386,16,16070,2,0,0,2,7.0,9.0,2020-04-29 09:15:00
387,16,16071,3,7,5,3,48.0,78.0,2020-04-29 09:15:00
388,16,16072,1,1,1,1,1.0,7.0,2020-04-29 09:15:00
389,16,16073,1,1,1,1,18.0,9.0,2020-04-29 09:15:00
390,16,16074,1,0,0,1,8.0,8.0,2020-04-29 09:15:00
391,16,16075,1,1,1,1,3.0,3.0,2020-04-29 09:15:00
392,16,16076,1,7,6,1,5.0,12.0,2020-04-29 09:15:00
393,16,16077,2,1,0,1,25.0,35.0,2020-04-29 09:15:00
