bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,2,0,0,2,53,41,2020-06-05 12:15:00
1,1002,5,0,0,3,133,125,2020-06-05 12:15:00
1,1003,2,0,0,2,125,118,2020-06-05 12:15:00
1,1004,1,0,0,1,23,17,2020-06-05 12:15:00
1,1051,1,0,0,1,22,34,2020-06-05 12:15:00
1,1053,2,0,0,2,6,18,2020-06-05 12:15:00
1,1054,3,0,0,3,19,25,2020-06-05 12:15:00
1,1055,3,0,0,3,19,33,2020-06-05 12:15:00
1,1056,2,0,0,2,2,33,2020-06-05 12:15:00
1,1057,1,0,0,1,7,5,2020-06-05 12:15:00
1,1058,3,0,0,3,11,39,2020-06-05 12:15:00
1,1059,1,3,0,1,11,13,2020-06-05 12:15:00
1,1060,4,1,0,4,53,75,2020-06-05 12:15:00
1,1061,1,0,0,1,18,22,2020-06-05 12:15:00
1,1062,3,1,1,3,35,29,2020-06-05 12:15:00
2,2000,28,19,16,24,388,578,2020-06-05 12:15:00
3,3101,5,1,1,5,65,93,2020-06-05 12:15:00
3,3102,2,0,0,2,10,17,2020-06-05 12:15:00
3,3103,1,1,0,1,25,23,2020-06-05 12:15:00
3,3151,2,0,0,2,7,29,2020-06-05 12:15:00
3,3153,3,0,0,3,50,39,2020-06-05 12:15:00
3,3154,1,2,0,1,13,21,2020-06-05 12:15:00
3,3155,2,0,0,2,9,14,2020-06-05 12:15:00
3,3157,1,0,0,1,6,16,2020-06-05 12:15:00
3,3158,1,2,2,1,5,11,2020-06-05 12:15:00
3,3159,8,3,2,7,78,143,2020-06-05 12:15:00
3,3241,16,15,11,16,135,358,2020-06-05 12:15:00
3,3251,3,0,0,3,8,5,2020-06-05 12:15:00
3,3252,4,2,0,4,6,66,2020-06-05 12:15:00
3,3254,5,0,0,4,38,60,2020-06-05 12:15:00
3,3255,1,0,0,1,4,10,2020-06-05 12:15:00
3,3256,1,0,0,1,20,14,2020-06-05 12:15:00
3,3257,1,0,0,1,9,14,2020-06-05 12:15:00
3,3351,3,0,0,1,7,34,2020-06-05 12:15:00
3,3352,2,0,0,2,11,7,2020-06-05 12:15:00
3,3353,3,1,0,3,24,42,2020-06-05 12:15:00
3,3354,1,0,0,1,16,7,2020-06-05 12:15:00
3,3355,2,0,0,2,13,25,2020-06-05 12:15:00
3,3356,2,0,0,2,5,10,2020-06-05 12:15:00
3,3357,3,0,0,2,8,26,2020-06-05 12:15:00
3,3358,3,0,0,3,19,16,2020-06-05 12:15:00
3,3359,3,0,0,2,14,23,2020-06-05 12:15:00
3,3360,2,0,0,2,31,48,2020-06-05 12:15:00
3,3361,2,1,0,2,8,9,2020-06-05 12:15:00
3,3401,1,1,1,1,13,12,2020-06-05 12:15:00
3,3402,1,1,1,1,7,14,2020-06-05 12:15:00
3,3403,5,5,5,3,113,111,2020-06-05 12:15:00
3,3404,4,0,0,4,89,35,2020-06-05 12:15:00
3,3405,1,0,0,1,11,23,2020-06-05 12:15:00
3,3451,3,0,0,2,17,24,2020-06-05 12:15:00
3,3452,3,0,0,3,20,22,2020-06-05 12:15:00
3,3453,3,2,0,3,14,32,2020-06-05 12:15:00
3,3454,7,0,0,7,49,53,2020-06-05 12:15:00
3,3455,2,1,0,2,13,24,2020-06-05 12:15:00
3,3456,1,0,0,1,19,11,2020-06-05 12:15:00
3,3457,3,1,1,2,19,23,2020-06-05 12:15:00
3,3458,1,0,0,1,6,9,2020-06-05 12:15:00
3,3459,8,0,0,7,73,50,2020-06-05 12:15:00
3,3460,3,0,0,3,35,21,2020-06-05 12:15:00
3,3461,2,0,0,2,7,9,2020-06-05 12:15:00
3,3462,1,0,0,1,5,8,2020-06-05 12:15:00
4,4011,10,4,2,9,84,107,2020-06-05 12:15:00
4,4012,2,2,1,2,6,18,2020-06-05 12:15:00
5,5111,12,1,1,11,68,245,2020-06-05 12:15:00
5,5112,13,6,4,9,83,182,2020-06-05 12:15:00
5,5113,15,7,5,14,100,258,2020-06-05 12:15:00
5,5114,6,1,1,4,21,80,2020-06-05 12:15:00
