bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,1,1,2,19,30,2020-11-21 12:15:00
1,1002,5,4,3,3,53,113,2020-11-21 12:15:00
1,1003,2,2,1,2,27,111,2020-11-21 12:15:00
1,1004,1,0,0,1,4,21,2020-11-21 12:15:00
1,1051,1,0,0,1,11,33,2020-11-21 12:15:00
1,1053,2,1,1,2,3,14,2020-11-21 12:15:00
1,1054,3,0,0,3,11,18,2020-11-21 12:15:00
1,1055,3,0,0,3,20,31,2020-11-21 12:15:00
1,1056,2,3,3,2,19,23,2020-11-21 12:15:00
1,1057,1,4,2,1,4,8,2020-11-21 12:15:00
1,1058,5,1,0,3,15,27,2020-11-21 12:15:00
1,1059,1,2,0,1,7,17,2020-11-21 12:15:00
1,1060,4,1,1,4,51,62,2020-11-21 12:15:00
1,1061,3,1,1,1,14,35,2020-11-21 12:15:00
1,1062,3,3,1,3,13,35,2020-11-21 12:15:00
2,2000,34,85,58,24,138,579,2020-11-21 12:15:00
3,3101,7,5,4,5,38,107,2020-11-21 12:15:00
3,3102,2,6,3,2,7,22,2020-11-21 12:15:00
3,3103,1,2,0,1,9,27,2020-11-21 12:15:00
3,3151,2,4,0,2,10,13,2020-11-21 12:15:00
3,3153,3,4,2,3,8,30,2020-11-21 12:15:00
3,3154,1,1,0,1,12,14,2020-11-21 12:15:00
3,3155,2,1,0,2,7,14,2020-11-21 12:15:00
3,3157,1,1,0,1,11,11,2020-11-21 12:15:00
3,3158,1,1,1,1,3,13,2020-11-21 12:15:00
3,3159,8,8,4,7,48,137,2020-11-21 12:15:00
3,3241,19,38,24,16,155,349,2020-11-21 12:15:00
3,3251,3,5,5,3,9,10,2020-11-21 12:15:00
3,3252,6,3,1,4,9,58,2020-11-21 12:15:00
3,3254,7,12,8,4,20,53,2020-11-21 12:15:00
3,3255,1,0,0,1,1,13,2020-11-21 12:15:00
3,3256,1,2,1,1,8,16,2020-11-21 12:15:00
3,3257,1,4,2,1,1,20,2020-11-21 12:15:00
3,3351,2,5,4,1,14,17,2020-11-21 12:15:00
3,3352,2,2,1,2,6,9,2020-11-21 12:15:00
3,3353,3,5,1,3,4,32,2020-11-21 12:15:00
3,3354,1,0,0,1,2,4,2020-11-21 12:15:00
3,3355,4,4,1,2,5,37,2020-11-21 12:15:00
3,3356,3,0,0,2,6,7,2020-11-21 12:15:00
3,3357,3,3,1,2,14,20,2020-11-21 12:15:00
3,3358,2,2,1,2,3,17,2020-11-21 12:15:00
3,3359,3,2,1,2,3,29,2020-11-21 12:15:00
3,3360,2,2,2,2,19,63,2020-11-21 12:15:00
3,3361,2,3,3,2,2,13,2020-11-21 12:15:00
3,3401,1,6,4,1,1,16,2020-11-21 12:15:00
3,3402,1,1,0,1,9,11,2020-11-21 12:15:00
3,3403,5,12,9,3,16,93,2020-11-21 12:15:00
3,3404,5,9,3,4,18,95,2020-11-21 12:15:00
3,3405,2,1,1,1,17,23,2020-11-21 12:15:00
3,3451,3,2,2,2,7,26,2020-11-21 12:15:00
3,3452,4,2,0,3,10,29,2020-11-21 12:15:00
3,3453,3,7,6,3,4,23,2020-11-21 12:15:00
3,3454,10,6,2,6,53,43,2020-11-21 12:15:00
3,3455,2,2,1,2,14,23,2020-11-21 12:15:00
3,3456,1,5,1,1,11,21,2020-11-21 12:15:00
3,3457,6,2,2,4,14,19,2020-11-21 12:15:00
3,3458,1,2,2,1,0,9,2020-11-21 12:15:00
3,3459,7,3,2,6,52,68,2020-11-21 12:15:00
3,3460,5,0,0,3,9,27,2020-11-21 12:15:00
3,3461,2,0,0,2,6,11,2020-11-21 12:15:00
3,3462,1,1,1,1,0,8,2020-11-21 12:15:00
4,4011,10,32,23,9,31,139,2020-11-21 12:15:00
4,4012,4,5,4,3,16,43,2020-11-21 12:15:00
5,5111,13,38,23,11,45,247,2020-11-21 12:15:00
5,5112,16,40,24,9,28,205,2020-11-21 12:15:00
5,5113,16,56,43,13,64,321,2020-11-21 12:15:00
5,5114,7,19,14,4,17,86,2020-11-21 12:15:00
5,5116,6,19,8,4,22,77,2020-11-21 12:15:00
5,5117,2,9,1,2,6,24,2020-11-21 12:15:00
5,5119,7,12,7,4,49,49,2020-11-21 12:15:00
5,5120,1,9,8,1,5,25,2020-11-21 12:15:00
5,5122,4,16,12,3,24,62,2020-11-21 12:15:00
5,5124,7,22,14,5,21,129,2020-11-21 12:15:00
5,5154,8,5,4,5,26,43,2020-11-21 12:15:00
5,5158,7,16,7,6,12,49,2020-11-21 12:15:00
5,5162,7,18,10,5,18,87,2020-11-21 12:15:00
5,5166,4,8,6,4,8,29,2020-11-21 12:15:00
5,5170,11,27,18,8,46,94,2020-11-21 12:15:00
5,5314,18,30,20,11,43,243,2020-11-21 12:15:00
5,5315,31,106,56,18,43,420,2020-11-21 12:15:00
5,5316,5,9,3,2,30,72,2020-11-21 12:15:00
5,5334,13,43,33,7,15,280,2020-11-21 12:15:00
5,5358,7,10,7,5,25,46,2020-11-21 12:15:00
5,5362,7,9,6,7,28,41,2020-11-21 12:15:00
5,5366,3,4,0,3,8,20,2020-11-21 12:15:00
5,5370,3,9,2,3,7,29,2020-11-21 12:15:00
5,5374,6,13,7,6,14,74,2020-11-21 12:15:00
5,5378,4,8,6,4,8,37,2020-11-21 12:15:00
5,5382,7,7,4,6,15,65,2020-11-21 12:15:00
5,5512,2,7,5,2,22,32,2020-11-21 12:15:00
5,5513,7,13,7,4,34,73,2020-11-21 12:15:00
5,5515,9,29,13,7,31,233,2020-11-21 12:15:00
5,5554,6,9,5,5,19,54,2020-11-21 12:15:00
5,5558,5,5,1,3,8,27,2020-11-21 12:15:00
5,5562,15,26,15,14,43,191,2020-11-21 12:15:00
5,5566,7,12,9,5,30,69,2020-11-21 12:15:00
5,5570,6,11,6,5,12,34,2020-11-21 12:15:00
5,5711,6,38,25,4,35,117,2020-11-21 12:15:00
5,5754,3,15,5,3,12,38,2020-11-21 12:15:00
5,5758,5,5,3,3,23,45,2020-11-21 12:15:00
5,5762,6,2,0,5,17,32,2020-11-21 12:15:00
5,5766,2,8,2,2,23,54,2020-11-21 12:15:00
5,5770,8,14,9,6,22,202,2020-11-21 12:15:00
5,5774,7,14,10,5,19,90,2020-11-21 12:15:00
5,5911,8,18,12,6,34,165,2020-11-21 12:15:00
5,5913,9,32,23,9,72,237,2020-11-21 12:15:00
5,5914,7,19,7,5,21,64,2020-11-21 12:15:00
5,5915,7,12,9,5,41,63,2020-11-21 12:15:00
5,5916,4,18,9,4,7,59,2020-11-21 12:15:00
5,5954,7,11,6,6,24,99,2020-11-21 12:15:00
5,5958,10,14,1,9,39,91,2020-11-21 12:15:00
5,5962,10,26,17,8,28,92,2020-11-21 12:15:00
5,5966,1,0,0,1,8,1,2020-11-21 12:15:00
5,5970,8,6,4,7,37,103,2020-11-21 12:15:00
5,5974,9,11,7,7,18,62,2020-11-21 12:15:00
5,5978,8,20,8,8,25,84,2020-11-21 12:15:00
6,6411,7,10,4,4,28,72,2020-11-21 12:15:00
6,6412,17,63,29,12,36,251,2020-11-21 12:15:00
6,6413,4,15,6,2,13,94,2020-11-21 12:15:00
6,6414,6,20,12,4,20,65,2020-11-21 12:15:00
6,6431,5,6,4,5,11,29,2020-11-21 12:15:00
6,6432,2,8,7,2,0,23,2020-11-21 12:15:00
6,6433,2,10,1,2,1,19,2020-11-21 12:15:00
6,6434,3,8,8,3,2,24,2020-11-21 12:15:00
6,6435,7,15,9,4,19,55,2020-11-21 12:15:00
6,6436,2,8,6,2,0,27,2020-11-21 12:15:00
6,6437,2,3,3,2,16,110,2020-11-21 12:15:00
6,6438,2,11,8,2,11,24,2020-11-21 12:15:00
6,6439,2,5,3,2,7,10,2020-11-21 12:15:00
6,6440,5,18,11,5,3,77,2020-11-21 12:15:00
6,6531,6,32,19,4,25,184,2020-11-21 12:15:00
6,6532,3,5,2,3,13,51,2020-11-21 12:15:00
6,6533,4,12,8,4,10,42,2020-11-21 12:15:00
6,6534,3,13,8,3,13,149,2020-11-21 12:15:00
6,6535,4,5,1,4,6,21,2020-11-21 12:15:00
6,6611,6,19,18,6,16,149,2020-11-21 12:15:00
6,6631,5,14,9,3,14,75,2020-11-21 12:15:00
6,6632,3,8,3,3,6,47,2020-11-21 12:15:00
6,6633,4,2,0,4,8,22,2020-11-21 12:15:00
6,6634,4,5,3,3,5,27,2020-11-21 12:15:00
6,6635,7,8,4,7,31,62,2020-11-21 12:15:00
6,6636,3,2,2,3,15,21,2020-11-21 12:15:00
7,7111,6,9,3,4,33,80,2020-11-21 12:15:00
7,7131,2,2,1,2,4,15,2020-11-21 12:15:00
7,7132,2,2,1,2,6,10,2020-11-21 12:15:00
7,7133,6,2,1,4,19,36,2020-11-21 12:15:00
7,7134,2,3,1,2,8,14,2020-11-21 12:15:00
7,7135,2,0,0,2,5,8,2020-11-21 12:15:00
7,7137,3,5,1,3,7,25,2020-11-21 12:15:00
7,7138,7,5,2,5,28,50,2020-11-21 12:15:00
7,7140,2,1,0,2,7,6,2020-11-21 12:15:00
7,7141,5,4,2,5,9,32,2020-11-21 12:15:00
7,7143,4,3,1,4,9,28,2020-11-21 12:15:00
7,7211,6,6,3,3,26,78,2020-11-21 12:15:00
7,7231,2,1,0,2,12,14,2020-11-21 12:15:00
7,7232,2,0,0,2,8,6,2020-11-21 12:15:00
7,7233,2,2,2,2,9,12,2020-11-21 12:15:00
7,7235,2,0,0,2,8,6,2020-11-21 12:15:00
7,7311,1,5,1,1,4,11,2020-11-21 12:15:00
7,7312,3,14,9,1,21,97,2020-11-21 12:15:00
7,7313,3,0,0,2,14,15,2020-11-21 12:15:00
7,7314,6,28,20,4,36,83,2020-11-21 12:15:00
7,7315,2,24,15,2,16,97,2020-11-21 12:15:00
7,7316,1,1,0,1,2,14,2020-11-21 12:15:00
7,7317,2,1,1,1,3,13,2020-11-21 12:15:00
7,7318,3,7,5,2,21,29,2020-11-21 12:15:00
7,7319,3,7,1,1,7,39,2020-11-21 12:15:00
7,7320,1,0,0,1,6,8,2020-11-21 12:15:00
7,7331,1,0,0,1,1,6,2020-11-21 12:15:00
7,7332,2,4,2,2,6,12,2020-11-21 12:15:00
7,7333,2,0,0,2,3,9,2020-11-21 12:15:00
7,7334,2,6,5,2,8,13,2020-11-21 12:15:00
7,7335,1,1,0,1,9,5,2020-11-21 12:15:00
7,7336,1,4,4,1,2,14,2020-11-21 12:15:00
7,7337,2,0,0,2,3,10,2020-11-21 12:15:00
7,7339,2,4,2,2,1,10,2020-11-21 12:15:00
7,7340,1,0,0,1,7,2,2020-11-21 12:15:00
8,8111,12,41,22,10,36,235,2020-11-21 12:15:00
8,8115,6,11,8,4,3,51,2020-11-21 12:15:00
8,8116,8,18,12,4,29,55,2020-11-21 12:15:00
8,8117,5,12,9,3,18,28,2020-11-21 12:15:00
8,8118,5,26,16,4,10,94,2020-11-21 12:15:00
8,8119,4,17,5,2,13,48,2020-11-21 12:15:00
8,8121,3,12,6,1,13,48,2020-11-21 12:15:00
8,8125,2,5,4,2,9,45,2020-11-21 12:15:00
8,8126,1,0,0,1,2,5,2020-11-21 12:15:00
8,8127,4,3,0,2,18,37,2020-11-21 12:15:00
8,8128,4,4,1,3,44,38,2020-11-21 12:15:00
8,8135,2,1,1,1,8,14,2020-11-21 12:15:00
8,8136,8,5,2,4,21,51,2020-11-21 12:15:00
8,8211,3,4,3,1,1,21,2020-11-21 12:15:00
8,8212,6,13,7,4,24,124,2020-11-21 12:15:00
8,8215,3,14,9,3,12,22,2020-11-21 12:15:00
8,8216,2,0,0,2,0,12,2020-11-21 12:15:00
8,8221,6,24,20,6,99,201,2020-11-21 12:15:00
8,8222,6,25,20,3,13,122,2020-11-21 12:15:00
8,8225,3,3,1,3,3,14,2020-11-21 12:15:00
8,8226,4,13,7,4,4,37,2020-11-21 12:15:00
8,8231,4,14,8,2,15,58,2020-11-21 12:15:00
8,8235,3,3,3,3,7,23,2020-11-21 12:15:00
8,8236,2,1,1,2,3,9,2020-11-21 12:15:00
