bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,3,1,1,2,12,37,2020-12-19 12:15:00
1,1002,5,4,2,3,43,123,2020-12-19 12:15:00
1,1003,2,9,5,2,24,112,2020-12-19 12:15:00
1,1004,1,2,1,1,5,20,2020-12-19 12:15:00
1,1051,1,0,0,1,6,38,2020-12-19 12:15:00
1,1053,2,2,2,2,4,13,2020-12-19 12:15:00
1,1054,3,0,0,3,7,18,2020-12-19 12:15:00
1,1055,3,1,0,3,12,36,2020-12-19 12:15:00
1,1056,2,2,0,2,2,31,2020-12-19 12:15:00
1,1057,1,0,0,1,4,8,2020-12-19 12:15:00
1,1058,5,0,0,3,16,26,2020-12-19 12:15:00
1,1059,1,0,0,1,12,12,2020-12-19 12:15:00
1,1060,4,1,0,4,46,67,2020-12-19 12:15:00
1,1061,3,3,0,1,22,27,2020-12-19 12:15:00
1,1062,3,3,3,3,7,26,2020-12-19 12:15:00
2,2000,34,105,57,24,122,551,2020-12-19 12:15:00
3,3101,7,5,2,5,26,105,2020-12-19 12:15:00
3,3102,2,4,2,2,12,17,2020-12-19 12:15:00
3,3103,1,4,1,1,15,21,2020-12-19 12:15:00
3,3151,2,5,2,2,4,16,2020-12-19 12:15:00
3,3153,3,1,0,3,7,31,2020-12-19 12:15:00
3,3154,1,2,0,1,1,14,2020-12-19 12:15:00
3,3155,2,2,2,2,8,13,2020-12-19 12:15:00
3,3157,1,4,1,1,0,16,2020-12-19 12:15:00
3,3158,1,1,1,1,4,12,2020-12-19 12:15:00
3,3159,8,13,6,7,46,123,2020-12-19 12:15:00
3,3241,19,39,24,16,60,340,2020-12-19 12:15:00
3,3251,3,3,3,3,4,13,2020-12-19 12:15:00
3,3252,6,4,2,4,15,57,2020-12-19 12:15:00
3,3254,7,10,6,4,10,58,2020-12-19 12:15:00
3,3255,1,0,0,1,0,11,2020-12-19 12:15:00
3,3256,1,3,0,1,4,20,2020-12-19 12:15:00
3,3257,1,3,0,1,3,19,2020-12-19 12:15:00
3,3351,2,3,2,1,1,27,2020-12-19 12:15:00
3,3352,2,1,0,2,10,5,2020-12-19 12:15:00
3,3353,3,1,0,3,7,29,2020-12-19 12:15:00
3,3354,1,0,0,1,0,7,2020-12-19 12:15:00
3,3355,4,2,1,2,10,34,2020-12-19 12:15:00
3,3356,3,0,0,2,4,8,2020-12-19 12:15:00
3,3357,3,2,1,2,10,24,2020-12-19 12:15:00
3,3358,2,2,1,2,10,10,2020-12-19 12:15:00
3,3359,3,1,0,2,4,27,2020-12-19 12:15:00
3,3360,2,0,0,2,20,58,2020-12-19 12:15:00
